crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
21,3,0.144337567297406,0.604599788078071,p6m,D6,0,0.0287445069391842,-0.214121979500312,0.278744506929922,-0.0697844121868638,0.0287445069502358,-0.502797114095125,-0.221255493065974,-0.0697844122118395,0.0287445069358158,0.363228289696422,0.278744506940974,0.218890722407949,-0.471255493075236,-0.214121979493204,-0.221255493054922,0.218890722382973,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
22,5,0.144337567297406,0.604599788078068,cmm,D2,0,0.2024355658,0.100130554100647,-0.0475644342000001,-0.0442070131967571,-0.297564434199999,0.388805688695461,-0.0475644342000009,0.533143255992868,-0.0475644341999995,0.244468121398055,0.2024355658,-0.188544580494165,0.4524355658,-0.0442070131967583,-0.2975644342,0.100130554100649,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1
23,5,0.144337567297405,0.604599788078063,pmm,D2,2,-0.0985339328625001,0.211600806996759,-0.0985339328625,0.50027594159157,-0.348533932862497,0.0672632396993517,-0.348533932862503,-0.221411894895461,0.151466067137501,-0.510087029490274,0.151466067137497,0.0672632396993516,0.151466067137499,0.355938374294164,0.151466067137503,-0.221411894895461,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
24,3,0.143611757079646,0.598534542782483,cmm,D2,0,-0.399456577750426,-0.198569791397619,-0.338759107476514,0.0821670323151975,0.327069465949144,-0.110766930900912,0.24415517930413,0.418712752546145,-0.0652851511264241,-0.0056358280268375,0.0783266060252994,-0.254378687811411,0.0176291356773699,-0.535115511508224,0.183457708797421,0.137975928883661,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
25,3,0.141544172692278,0.581424350931254,cm,D1,0,-0.487688122603776,0.0625495447632313,-0.183165620075262,0.464083665143701,0.231153445843497,0.378637097098492,-0.127302381464226,-0.242226608067617,-0.206529839421656,0.0295490736961663,0.14767599205276,-0.174951758454124,0.231153445843496,0.0955487517139366,-0.0140082527748318,0.237092924406215,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1
26,3,0.140545112191509,0.57324558824908,cm,D1,0,-0.295979112043891,-0.29797488496008,-0.155435723933255,-0.054542614498502,0.063474051690777,0.324620239155824,0.16077281303822,-0.399393215145008,-0.479772299153289,0.223200913568269,0.1175264621901,-0.121649687079967,0.258071574381609,0.121781587991194,-0.198682074770271,0.223200913568269,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
27,4,0.140287564773371,0.571146580372466,cm,D1,0,0.263536273497013,0.371642051556116,0.200874738080671,-0.241885871973992,-0.0003497974347291,0.260270905936682,0.429268014901515,-0.0690394036519519,0.489292981426902,0.205039794233983,-0.267721828715506,0.345327359007349,0.03777877272389,0.538243234519638,0.169472631720246,0.0369264502721746,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
28,4,0.140277913752622,0.571067999524558,cmm,D2,0,0.159052779895771,-0.178456468856941,0.409052775854839,0.254556233121689,-0.270808267648168,-0.0569722354571618,-0.411086181585508,-0.299940709149821,-0.0097029900842915,0.0456708664807814,0.13057492367643,0.288639340275411,-0.312469372830085,0.220473118914061,-0.172191459178989,0.463441592771983,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
29,4,0.13969987867804,0.566371362421796,cm,D1,0,0.463879619557122,0.156192653122352,0.144029380933549,-0.397804210986706,-0.362599491066813,-0.313320921808315,-0.0023002867969888,0.310737723757165,-0.222900529442917,-0.0713531046676025,0.188851596495642,0.106960438653264,0.0491517178176008,-0.135006849028309,-0.261092219397194,0.205424096758152,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0
30,2,0.139568846248401,0.565309397127303,cm,D1,0,0.383871472325,-0.207488993223777,0.125611805180999,0.381916763676497,0.142131139469001,-0.484108640107941,-0.116128527675,0.242347917428096,-0.116128527675,-0.036789775068706,-0.336990835182525,-0.207487439068219,0.104733779832525,-0.207487439068219,-0.116128527675,-0.378185103067731,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1
31,3,0.139490965276571,0.564678675262346,p1,C1,0,-0.209963201643281,0.203435703068682,0.420862662931565,-0.302073583861604,0.0539616562095891,-0.228675120993452,0.31970544827455,0.213407246907,0.0637189458630512,0.324320853638931,0.0580507980349331,-0.507627081901223,0.278008908470546,-0.0624411102451327,0.0220224060590466,0.0484724964867976,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
32,4,0.139443798452331,0.564296864199384,cm,D1,0,-0.301730726769227,0.171235657436021,0.448269318838221,-0.261776965461784,0.0690305450192807,-0.331498544568032,0.429587289556742,0.293002802002087,0.208474886460699,-0.0899751143439105,0.171838365096675,0.186495602025112,-0.0696853786231568,0.325939400477443,0.466223810920766,0.0165320856330645,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0
33,2,0.138941410920029,0.560238096098467,p2,C2,0,0.272154376291498,-0.018648713145035,0.282020914808502,0.259058892245035,-0.499043146214429,-0.176345539258843,0.0532184373144296,0.416755718358843,-0.0024968624415245,0.0236071708974359,-0.443327846458475,0.216803008202564,-0.167141520112784,0.247462033194657,-0.278683188787215,-0.0070518540946568,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1
34,3,0.138764219141497,0.558810065609731,p2,C2,0,0.240308563574968,-0.196480806315837,-0.0132260277749673,-0.0835992531513826,0.338997271300954,0.0629080389014799,-0.232242306198124,0.393376932262147,-0.111914735500954,-0.342988098368699,0.211141942325727,0.309231096913584,-0.0406751580018758,0.192568412055072,-0.484059406525727,0.276714247403635,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
35,3,0.138518025321453,0.556828956313649,p1,C1,0,0.0029557534330738,0.397185243473225,0.3895739869657,0.0539962303773996,-0.141294786251966,0.0953863626431758,0.0426004159162269,-0.11181288440019,0.375821424073602,-0.222698258851637,0.141552968055761,-0.370574098226551,-0.38868680840909,0.220070606751355,0.130092626416693,0.151044655833223,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
36,4,0.137834402086044,0.551346321404258,p1,C1,0,-0.0999479535137308,0.47875382967972,-0.220434037042261,-0.398224914212079,-0.011132331295583,0.0893669176160501,-0.489877918841505,0.123626083612799,-0.459074004741344,-0.150316261543585,-0.18457958215479,-0.124897733605407,-0.240822835815976,0.241799072120396,0.243712656405191,0.194473158332107,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
37,4,0.137776120032974,0.550880156188965,cmm,D2,0,0.2371770057375,0.217624105523738,0.2371770057375,-0.377630809369883,-0.2628229942625,0.0577727681099253,-0.2628229942625,-0.217779471956023,-0.0383752343276649,0.217623448638963,0.0127292458026647,0.488395251299378,-0.0383752343276648,-0.377630152485061,-0.487270754197336,0.217623448638963,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1
38,3,0.137145942589111,0.545852313560045,p2,C2,0,0.20085895018507,-0.249302125944806,-0.473013965335068,0.0200454561525889,-0.0064868269938662,-0.0697366310392258,-0.265668188156135,-0.159520038752995,-0.0917960419941997,0.437156894553551,0.319641026844199,0.199611839438667,0.182495843182621,0.43715601822033,0.0453491416673777,0.199612715771888,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1
39,4,0.136631922624729,0.541768296496716,p2,C2,0,-0.255579024878514,0.013130786293696,0.322145543578475,0.12550137100242,0.121093242188593,-0.368672605169634,-0.0545267234885798,0.507304762465741,-0.301182421181971,-0.256300947854511,-0.132251060118016,-0.47109229863382,-0.20997431554209,0.282562298197669,0.276540834242103,-0.143930140901561,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
40,4,0.13634363537839,0.539484494647381,p1,C1,0,0.0625317874069176,0.0860020900885972,-0.269563968051748,-0.319370703771281,-0.123071859535337,0.285776047036234,0.412644376917876,0.103701848030086,0.191323883428393,-0.380475966621301,-0.481272191860422,-0.147504547694647,-0.0578555955436609,-0.491236676676793,0.248134972237981,-0.113772296190895,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0
41,3,0.134738083259654,0.526853607165905,p1,C1,0,0.135335759391097,-0.0432938328031473,-0.180823653185371,-0.235774682965943,-0.315675138881765,0.108406566222892,0.0691882929016907,-0.336330295120123,-0.430837001442554,-0.135222557104906,-0.0498292251194488,0.152490060388175,-0.220929607835326,0.360677628115987,0.320502774371677,-0.239075805632935,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1
42,4,0.13469551814285,0.526520783029614,p1,C1,0,-0.172545912365531,-0.194300261369977,-0.0896441652554915,0.0620175701540649,-0.274071676488983,0.285083709235033,0.496719134049716,-0.014847433751136,0.45859726323917,0.251832624365304,-0.465160832416909,-0.28152775449959,-0.006740619426248,0.318334819905272,0.244553045864278,0.415407082761028,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1
43,5,0.134692700825835,0.526498757642759,p2,C2,0,-0.445288884681689,0.0437878111002985,-0.264771463849258,0.243742694509129,0.14496982574005,0.143765252795099,-0.105030174261537,-0.289247449097698,0.106868450394729,-0.122912042488596,0.183071201080775,0.410442548079451,0.374193377493491,-0.156166786130277,-0.0842537260165605,0.443697291732592,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
44,5,0.134450831462586,0.524609574606851,p2,C2,0,-0.0895835309728289,0.138592153651236,0.0901606591288501,0.338592479772506,0.160416468921138,-0.294420548051387,0.340160659022816,-0.0944202219301155,-0.269327644644655,-0.0614082411590053,-0.480095227305333,0.105580172880104,-0.230095227348974,-0.327432529067197,-0.0193276446010141,-0.494420942996143,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1
45,5,0.134396735267191,0.524187506962743,p1,C1,0,0.23525634819483,0.358121446391004,-0.0517187847092261,0.404511557578811,-0.133878224191925,-0.137096202542788,0.10439178721986,-0.0126882789054822,-0.231289476817798,0.204500817023294,-0.410859516974736,0.0044894911440984,0.342661929092125,0.111719394869445,-0.37214936481313,-0.261501963458382,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
46,4,0.13397459621621,0.52089974112645,cm,D1,1,0.279494210068003,0.262263723715304,-0.354479201917533,-0.103437248288022,0.145520797903963,-0.237410704767341,0.0115452147371126,0.262588725795922,-0.220505592503927,0.128614129009933,-0.220505593161849,0.396563321442355,0.0115452140791927,0.530537918228344,0.0115452153950372,-0.0053604666364981,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
47,2,0.133974596215561,0.520899741121406,p6m,D6,2,-0.4445806442,0.3041054202,-0.2175086152,0.0568371809,-0.0114814261877235,0.525878296864591,-0.243532233756601,-0.34014710678534,0.122493170144325,0.293827489362968,0.256467766273244,-0.206172510652592,-0.011481426157878,-0.206172510621472,0.122493170084634,0.0258782969318447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
48,4,0.133974596215561,0.520899741121405,p3m1,D3,1,0.1696634147,-0.1918605764,0.169299944985714,-0.464856287439687,-0.196725458798724,0.169118308775875,-0.464674651229846,0.169118308775874,-0.330700055014286,-0.330881691224125,-0.0627508625831636,0.401169116344753,-0.0986492474454087,-0.464856287439688,-0.330700055014285,-0.0629324987930025,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
49,3,0.131491848660683,0.50177253999288,p1,C1,0,-0.334206297621794,-0.21879475229848,0.350049031014875,0.196602517776379,0.122298420075781,0.328094282817711,0.113032631780801,-0.406439459278261,0.481540645336334,-0.0311481801807349,0.297285767548273,-0.218792964462426,-0.132334168893845,0.393841295612522,-0.149951065540425,-0.406439188686711,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0
50,3,0.131491848659826,0.501772539986346,cm,D1,2,0.1186625362,0.3620755525,0.4117735436,0.23523953,-0.259812348326965,0.287638902061018,0.0559331867986732,-0.259248407039585,-0.461683516897806,-0.193503010855391,-0.330191668237968,0.0342475518045812,-0.198699819578152,-0.193503010855402,0.310565920442218,-0.324994859515222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0
51,4,0.131251275411825,0.499938165847128,p1,C1,0,0.249799751677484,0.174361511449003,0.191405968972043,-0.182730848538172,-0.44928625867362,-0.175128951280163,-0.2547728373375,0.0011439000300734,0.0042862260898468,0.267263061180168,-0.124892491780857,0.495780999290517,0.0077044908903453,0.0047827673395117,0.495313684762258,0.0814610386290607,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0
52,5,0.131228378695097,0.499763753155551,p1,C1,0,0.451324237614526,0.104823300390946,0.204270556974695,0.0162342018398977,-0.488767355073175,-0.256619730700764,0.142450707904341,-0.258286113955693,-0.0427842317004054,-0.0723518066065634,-0.172314393149888,0.421804941973582,-0.301622163048753,0.193412625676476,-0.305219833421341,-0.0690194727178807,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1
53,4,0.130750905485883,0.496133597998318,cm,D1,1,0.3583905099,-0.1595979047,0.380182078074083,0.173877992371987,-0.19530628619525,-0.0712139147913674,0.122337678810903,0.217460820528538,-0.0286402502112414,-0.272722300698482,-0.135506642534707,0.261044109657922,0.138026146028105,-0.474230388640636,-0.361973853971893,0.130293204172037,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1
54,4,0.130750905485455,0.496133597995068,cmm,D2,2,-0.1335623646,-0.189073194,0.0888365872,-0.4164928481,0.223182964814231,-0.1017703095238,0.0565158668523792,0.0997371980237841,-0.276817035185712,0.0997371980237841,-0.443484133147565,-0.101770309523799,0.389849415833333,-0.303278352156749,-0.110150584166667,0.30124524065678,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
55,5,0.130105693673963,0.49124917389814,p2,C2,1,-0.0002571516,0.0604218367,-0.490017384013271,0.144793607737288,0.327692554578286,-0.0408951092522978,-0.307727322605789,0.330482324727818,-0.111544144264151,-0.267673578964875,-0.368490623765546,-0.308764609341005,0.145402548195391,-0.226583880260285,0.374562683775079,-0.349854308046644,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
56,5,0.129151241074612,0.484068024284531,cmm,D2,0,-0.48480828263984,-0.0815917718926947,0.291495206119187,0.0475594694604862,-0.355657041600113,0.14210473952925,0.420646447158915,0.271255980882431,-0.261111771147898,-0.210743012811183,-0.13196053010817,0.0129534986107619,0.196949935678824,0.400407221821447,0.0677986946390954,0.176710710399502,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1
57,4,0.127520055582102,0.471917643662675,cmm,D2,2,-0.1739739406,0.3139194169,-0.3923165186,0.0956154429,-0.0027377256201497,-0.0553956403042305,-0.223608939124143,-0.182915698914328,0.136826666144186,0.31385703248019,0.386826668217656,-0.119155668209187,0.218133490169537,0.0721244143469306,-0.444480155587086,-0.310435752399375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
58,3,0.125,0.453449841058554,pmm,D2,4,-0.3853707652,-0.1881270288,-0.1610859414,0.0415813345,-0.4474447489,0.1326014499,0.2652503545,-0.423586711,0.0078843581646843,-0.236949330780496,-0.117115641536809,-0.453455681898949,0.132884358648856,-0.0204429801139233,0.25788435802327,0.196063371193369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
