crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36
22,2,0.148461596731914,0.719598094657984,cmm,D2,0,-0.395645724502621,-0.108817563709557,-0.124216638873661,0.311823050037665,-0.472992518670094,0.177854472332979,0.317415612556757,-0.185169292744377,0.162722024010747,0.388174779283747,-0.0468698444951222,0.0251510140520761,0.240068818389285,0.101502743298159,-0.138502695886146,-0.257279160261344,0.118640332570855,-0.405740757089348,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1
23,4,0.148328027649686,0.718303849924377,p2,C2,0,0.315016190877707,-0.223314984085171,0.279226024255627,0.273212799709122,-0.0959656375876084,0.198094338762008,-0.309792147279059,-0.148196523138058,-0.0554904804707544,-0.300956064261688,-0.350267304395913,0.35085387988564,0.0829126789456371,-0.0385644092698708,-0.488670463812304,0.0884622248938221,0.0471211075666664,0.457961609704195,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
24,4,0.148267582704241,0.71771853922971,cmm,D2,3,0.0778333938801274,0.266157703103609,-0.273899023414318,-0.108119760278355,0.329676271336777,0.109606531283482,-0.206077411884751,0.180555374316519,0.0100117823505778,-0.0225174314912711,0.010011782350403,0.554832837698448,-0.2060774118846,-0.396794894873194,0.0778333938807371,-0.482397223659263,0.22610097658505,-0.225590237299972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
25,3,0.148222251687932,0.71727973883065,p2,C2,0,-0.139275491311111,-0.274295879483702,0.267097690263672,0.310458547388196,-0.0456486728858943,0.0069750974288391,-0.453038357529496,0.0249104967469211,-0.325512625092726,0.292523148070114,-0.491145232252239,-0.269074553350237,0.212594249630016,-0.279517205617166,0.250701124352759,0.014467844479992,-0.0292521069749807,0.302965800337043,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0
26,4,0.147556228954648,0.710848163254471,p2,C2,0,-0.350395447689199,-0.323929710006858,0.276537588755866,-0.248690452828941,-0.144989649234861,-0.112033931911583,0.0711317903015276,-0.460586230924216,0.481942453294015,-0.0367937694256096,-0.055800312227348,0.33019901037425,0.0861389680044577,0.0714624579883467,0.340003173062209,0.221942782960293,-0.286928929466667,0.14670262047432,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0
27,5,0.147384500938517,0.709194535876789,p2,C2,0,0.14990409973273,0.191109610486182,-0.243052209328408,0.292420218751194,-0.457139591203272,0.0897990022176094,-0.284202453482266,-0.2067269105243,0.0840106529481471,-0.277079272288193,-0.0574011260645057,-0.0184454128960803,-0.142790674469613,-0.465360769916412,-0.0289631679305768,0.495039681836411,0.328771367397764,-0.112820460866411,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1
28,6,0.147279283760477,0.708182315297074,p2,C2,0,0.331267152685343,-0.148534441191343,-0.0743719573522186,-0.0320714761365716,-0.4548853399304,0.0540340491657137,-0.288219464736477,-0.234639966493627,0.378447597666865,0.342709743227894,0.117418649273529,-0.351101880056835,0.139476546059915,0.170495962728582,-0.0020675168174868,0.428817521960781,-0.241037287849069,0.256601964495405,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1
29,1,0.147104513829671,0.706502574121663,p2,C2,1,-0.114617503,0.2538737158,0.108992131169498,-0.351086926687335,-0.0490901002944975,-0.102955993404885,0.410359776319525,0.297903596114783,0.149542254555474,0.114078887577437,0.137544409079942,0.408043177347813,0.422357621795058,0.0039393063444071,0.396605754789694,-0.289140534828598,-0.336703723914694,-0.16490238526362,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
30,2,0.147068986454438,0.706161358880689,cmm,D2,1,-0.1063501561,-0.3703189472,0.11729448398528,-0.0867913549783708,0.264363470439722,0.167939601778373,0.314936072774589,-0.304632924674746,-0.170182643766714,-0.0245495030906994,-0.448159401808286,0.105697749890698,0.0667218816504102,0.385781171474745,-0.415631385314983,-0.186636092231548,-0.202710660260018,0.267784339031547,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0
31,8,0.146986183948033,0.705366419424418,p2,C2,0,0.144472504667938,-0.490224076054996,-0.0777497170773359,0.472026371217548,0.366694727375097,0.279576281464614,-0.466638604918333,-0.0090988561321427,0.255583615914594,-0.105323896986532,-0.188860829262257,0.087126194857621,-0.022194161756418,-0.201548942159675,0.088916949641463,0.183351236472243,-0.299971939584748,-0.29777398687868,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
32,0,0.146384170148372,0.69960028952484,cm,D1,0,0.0310158801157039,-0.0485185533834348,0.0310158801156998,0.244249786913311,-0.404596714360721,-0.190809517829873,0.0954032856392789,-0.479484652424692,-0.453381627467107,0.0978656167649379,0.321010829086118,-0.0887209246040156,0.321010829086116,0.284452158133891,-0.130204257807543,0.488629344585637,-0.130204257807543,-0.292898111055761,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
33,2,0.146370308727643,0.699467802592551,p1,C1,1,0.0556025612,-0.4392830165,0.442413674948678,0.0321886745740015,0.326340373794986,-0.236556665603994,-0.266809408331029,-0.0016617879153394,0.0495642778005316,-0.141204362044136,-0.0132889630400499,0.14470915499194,0.296043358198697,0.285709481378122,0.0425227839186362,0.432080200870821,-0.203956167490449,-0.287575304951415,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1
34,3,0.146370308727401,0.699467802590242,cm,D1,0,-0.089907336622684,0.162755454976049,0.456354092267521,0.0163851462486472,0.456354092267521,0.30912576370345,0.163613474812718,0.0163851462486469,0.163613474812718,0.30912576370345,-0.368942177746216,-0.218509885279706,0.131057822253784,-0.322004608552635,-0.0899073366226819,0.455496072430854,-0.0899073366226821,-0.129985162478757,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0
35,1,0.146361435920106,0.69938300322119,p1,C1,0,0.104237285486742,0.330280184739201,0.387451290359074,0.223603335254795,-0.328186447894568,-0.111017782887663,-0.322846909282211,0.181656385814995,0.105880692711523,-0.245685076161375,0.381229434383692,-0.146338459923355,-0.17040824301017,0.431554630553899,0.157518370105496,0.0424472371458581,-0.165829794259576,-0.354589120936354,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
36,2,0.146322671810204,0.699012586393357,cm,D1,0,0.474943673531412,-0.149757376966595,-0.271618024594089,-0.296080048776799,0.29861305787582,-0.383314246112477,0.114281101325014,0.300460127812006,0.0609094964565301,-0.0008807114422703,-0.435669961681865,0.285819572387971,0.333226987793221,0.106284959622669,0.0209794862056343,-0.290789130471575,-0.158036390011677,0.19329445674707,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0
37,1,0.146295408786082,0.69875212885266,p1,C1,0,-0.210263551172708,0.0287390935978493,-0.158831747491018,0.338398858948546,-0.49735329745345,-0.283630445069908,0.497817606315407,0.0089205186221257,0.0234402083238369,-0.14730618275096,0.331542987672104,0.249673790090182,0.0628933509066097,-0.437224854222618,-0.207910154910667,-0.326432942222599,0.0590480101098843,0.143109848107382,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0
38,2,0.146286360937227,0.698665700875208,p1,C1,0,0.367155761330255,-0.0126757989567731,-0.476989052156827,-0.26028023837992,0.36818546094084,0.279895110915926,0.076166994654883,0.297895470163021,0.0778568122654286,-0.0563211383988471,-0.198781122064399,-0.16973110686164,-0.155860375035991,0.119676230743251,0.0349360652370236,-0.345728476003737,-0.194189078971215,0.409727446978718,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
39,2,0.146187406170962,0.697720801881057,cm,D1,0,0.172186795623574,0.448165384336354,0.418982780708759,-0.271672613277122,-0.164453940677247,-0.175379542181073,-0.452702597905823,-0.0089591023366062,0.296146729339791,0.183369301047633,0.127682678899998,-0.296718203271803,-0.428773181927171,0.282434813081847,0.0759358845940208,-0.0089591023366082,-0.188383356655902,0.11601437323738,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
40,3,0.145614472243125,0.692262539926546,p1,C1,1,-0.0032228631,-0.1544071038,0.129806058100868,0.132134954715779,-0.316773015290278,-0.0434943610761914,-0.0643426728410991,-0.509289580121452,0.433334290453574,-0.224202886589129,-0.15389378517592,0.197927788909945,0.209719275789546,-0.410778938973645,-0.29694654491659,-0.334047642212538,0.4135078200799,0.0663503945472317,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
41,3,0.145604698902516,0.692169616600467,p1,C1,1,0.2036003588,-0.3923484211,0.48158069661534,0.265704203698436,-0.322266691369168,0.0504669713954045,0.190057282496599,-0.0029399809940379,-0.003697967397727,0.44611194748243,-0.0711690491698858,-0.131640085943649,-0.214578232506401,-0.385089724934758,0.450981084423973,-0.132252327495578,-0.0520134436927317,0.158938605891751,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0
42,4,0.144337567297409,0.680174761587853,cm,D1,2,-0.393758101199998,-0.049460175099999,0.314036024500002,-0.022239678699999,0.234442546125928,-0.313117685009981,-0.0156193340282574,-0.457562431858268,-0.265619310485838,0.264125445405428,-0.0155575019821539,-0.168780201038236,-0.0155575019821706,0.4085700681514,-0.265557486698957,-0.313117794806925,-0.0155575325485539,0.119894933556582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
43,3,0.144337567297406,0.680174761587831,p6m,D6,4,-0.4802824839,0.0892798852,-0.0501213888,-0.1590732631,-0.3595907311,-0.1983836482,-0.170813018,0.1285904948,-0.0152019024665823,-0.467909320846928,0.234798097043653,-0.03489661714018,-0.0152019049486691,0.398116082267468,0.234798096485799,-0.323571751734993,0.234798096485799,0.253778517454633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
44,1,0.144337567297406,0.680174761587831,p6m,D6,0,0.460242056877778,-0.195152438172022,0.210242056893536,-0.0508148708473222,0.21024205686202,-0.339490005442135,-0.28975794313798,-0.0508148708473223,-0.289757943106465,-0.339490005442135,-0.0397579431222222,0.0935226964227906,0.21024205686202,0.237860263747491,-0.289757943106464,0.237860263747491,-0.0397579431222222,-0.483827572766835,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1
45,1,0.144337567297406,0.680174761587827,p6m,D6,0,0.213877850133333,0.171924635628146,0.213877850133333,-0.40542563356148,-0.0361221499225696,0.0275870684275651,0.463877850077432,0.0275870682339136,-0.286122149754862,-0.405425633561479,-0.286122149978471,0.171924635628145,-0.0361221498107648,-0.261088066167247,0.463877850189236,-0.261088066360899,-0.286122149866667,-0.116750498966667,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1
46,5,0.144337567297406,0.680174761587825,cmm,D2,1,0.493741905077776,0.089277584731027,-0.0062580949222213,0.089277584731028,0.493741905077778,-0.199397549863785,0.243741905077778,0.233615152028434,0.243741905077778,-0.343735117161191,-0.0062580949222217,0.377952719325841,0.243741905077777,-0.0550599825663788,-0.0062580949222219,-0.199397549863785,-0.256258094922222,-0.343735117161191,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1
47,4,0.144337567297405,0.680174761587823,p31m,D3,0,0.382061966666668,-0.0838133199982733,-0.117938033333332,-0.372488454593082,-0.117938033333336,0.204861814596542,-0.367938033333334,0.060524247299135,0.132061966666667,-0.228150887295677,-0.367938033333333,-0.228150887295677,-0.117938033333333,0.493536949191354,-0.117938033333333,-0.0838133199982705,-0.367938033333334,0.349199381893949,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
48,3,0.144337567297405,0.680174761587823,pmm,D2,1,-0.227062157288889,0.193004955106498,0.0229378427111075,0.337342522403907,0.0229378427111146,-0.528682881380532,-0.227062157288889,-0.0956701794883138,0.272937842711111,-0.0956701794883104,-0.47706215728889,-0.240007746785718,0.0229378427111103,0.0486673878090936,-0.477062157288888,0.0486673878090936,0.0229378427111122,-0.240007746785718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
49,3,0.143611757079646,0.673351360630294,cmm,D2,1,0.1094251905,-0.4320647333,-0.0879975737229022,0.191204341794452,-0.336740433303827,0.047592584289998,-0.0273001034968976,0.471941165517626,0.0556141825715333,-0.0575385184850774,0.389785610385692,0.135395444755399,0.246173852516037,0.384138304125475,-0.193128677009391,-0.201150275989531,0.329088138959756,-0.145341378708342,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
