crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55
698,6,0.107735278009074,0.463156538555593,p1,C1,0,-0.101516506735656,-0.0616847163199186,0.209852162760698,0.16478157927022,0.0843282815794634,-0.427075345774553,-0.252763939517304,-0.303188499618427,0.321519069939249,-0.0731067166728277,0.176142983345766,-0.232145560851018,-0.488928327155615,0.0293499631614245,0.492514349720581,0.244019910450861,0.308604254330664,0.35629028643866,-0.314132475063527,-0.0966419834152181,0.11109934739568,-0.0267267546692017,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
699,6,0.107705299023361,0.462898813664411,p1,C1,0,-0.013045567894121,0.539462848758877,-0.11596080238424,0.35022706921206,0.171929033788721,-0.132122013983489,0.0305421150471563,-0.386041263724766,-0.211365725644466,-0.0542892762992346,-0.466823130015238,0.0704873036882742,0.381551078596855,-0.0825203599656676,-0.218874427140983,0.160990414226099,-0.401223468232344,0.275666274649767,-0.0376930182101687,-0.181723637612376,-0.410127502011172,-0.137328315349544,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
700,7,0.107533720234751,0.461425156268912,cm,D1,0,-0.198265041835143,-0.246389905249234,-0.0315989245264286,0.0422842999268126,0.411850207437934,0.295328860304468,0.304316376651068,0.109075057158316,-0.399314587964301,-0.322764534226159,-0.0659813286926797,0.254585628782408,0.0193839739718234,-0.38444270323731,0.196782849416069,-0.0771789212434989,0.213381751275924,-0.291604853460548,-0.100364367446236,0.466886854865007,0.0027850721119693,-0.17001677102026,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
701,7,0.107500500047952,0.46114010592136,p1,C1,0,0.113422320181119,-0.154686972560598,0.273323107135727,0.0895149699705421,0.221192247814425,0.298100212853785,0.489657913709874,0.277316872605778,-0.400019068682941,0.0927789040782044,-0.475401507858305,-0.200103920749612,-0.330939618386492,-0.359340199695311,-0.120664294094079,-0.404170078525832,-0.0986081018002573,-0.190303404114561,-0.289695441289044,-0.0917586998969511,0.32545274826997,-0.119070577365446,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0
702,7,0.107353678049028,0.459881334535208,p1,C1,0,-0.0342539853237579,-0.299061482414958,0.321319689202545,-0.140190542640791,-0.319569187195338,-0.302206779512387,-0.235886583875178,0.0529072940735431,0.177010095952904,0.115659464692443,-0.449838305866817,0.0709047777707179,0.375954530428853,0.196408215479453,0.106635380314489,-0.137044707318458,-0.0219347090874779,0.0349116268881873,-0.46399598604566,-0.143335295172164,-0.175142855404564,-0.461078688445587,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
703,7,0.107281926781526,0.459266804279016,cm,D1,0,0.248268818661532,0.113842020530699,-0.466295249661532,0.113842020530702,-0.1090132155,-0.0463739754607751,0.498268711281527,-0.257825358625139,0.283704857718474,-0.257825358625121,-0.1090132155,-0.377403333621885,-0.28716743515661,-0.25782607293085,0.0691410041566113,-0.257826072930854,0.390986784499998,0.274058216599501,-0.323577069063052,-0.0463739842331369,0.105550638063051,-0.0463739842331398,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
704,6,0.107222474204694,0.458757920255891,p2,C2,0,0.405663187727146,-0.0530917378636227,-0.303933480145549,-0.323879576198202,0.115259855599966,0.217696100470609,-0.299378125677919,0.282579423696259,0.110704501132542,-0.388762899423736,0.486470642793457,0.27135953363089,0.324855732661147,-0.377543009357992,-0.103446730396083,-0.399982789489104,-0.0852268941493134,0.293799313762002,0.315746062599662,0.141591457371904,0.495580312854942,-0.247774933099006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
705,5,0.107130509208557,0.457971302010381,p1,C1,0,-0.120163822965419,-0.205597307776178,0.0134091745529109,0.18285789921389,0.159246298856577,0.0258887392238589,-0.3698658313253,0.126826628829664,-0.499127044079394,-0.0440514648233251,0.0461836539562266,-0.340639156604389,-0.286511667648601,-0.0705559119658605,-0.132425806950252,0.339829050012727,0.305083054997278,-0.131080762818726,0.2604446723703,-0.340640298057728,-0.346686825364326,0.339830191466067,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
706,7,0.107065747913088,0.457417774345421,p2,C2,0,0.188491003522702,-0.377407935497254,0.0775729670955679,0.428534147314572,-0.116968014690746,-0.407449595984185,-0.051113299281213,0.162164370402757,0.317177269900296,-0.111038158585623,0.224127123542758,0.0818192181662052,0.0419368470753431,-0.030693006349545,-0.144163701187225,0.355021623856925,0.410227671804747,-0.303895412040545,0.0211452186082249,-0.243812704384338,0.244918752009545,0.29493891620103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
707,7,0.107020466240085,0.457030941722404,p1,C1,0,-0.22028812534463,-0.0438230955725869,0.470238947645389,-0.0822459275593356,0.297435196413896,0.044056821172849,-0.310574019767282,0.334718005613076,-0.0246148880909711,-0.531141674840853,0.0822425696064613,0.452251546893464,0.12463135581514,0.170359447635248,-0.0836174609026802,0.120902889803058,0.261344244314379,0.335050391208887,-0.0965331502840689,0.334553786699805,-0.356958047205633,-0.208549697053611,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
