crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55
1,0,0.144337567297406,0.831324708607343,p6m,D6,0,-0.104176831218183,0.145631136296934,-0.104176831218183,0.434306270891748,0.145823168781818,0.0012935689995276,-0.104176831218181,-0.43171913289269,-0.354176831218182,-0.287381565595283,0.395823168781819,0.145631136296934,-0.354176831218182,0.289968703594341,-0.104176831218182,-0.143043998297878,0.395823168781818,-0.143043998297878,-0.354176831218182,0.0012935689995285,0.145823168781818,-0.287381565595284,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
2,1,0.13985725123874,0.780516166488999,p1,C1,0,0.481003734333261,-0.273092606572184,0.201663570081199,-0.258626247947312,-0.295482656978934,-0.0134754889743688,-0.0106432149464376,0.176857893807489,-0.275922606257759,0.265554271646271,-0.239656277755336,-0.287562369869838,-0.0077894420065343,-0.444016751003988,-0.0302032656676046,-0.102171866813161,0.240783671523512,0.299433273293964,0.221223620802342,0.0204035126733268,0.472650507272292,0.142978892159801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1
3,1,0.139857251238268,0.780516166483736,p2,C2,0,0.0253640547094337,0.246108568806899,0.138443699601585,-0.0772693807019376,0.412284409736528,-0.296538885416331,0.389870586071925,0.045305998781578,0.160857523266188,-0.419114264899846,-0.126835691711324,0.0114269971291156,-0.322436198950563,-0.385235263247384,-0.358702527457737,0.167881378265095,0.409430636795851,0.324335759401076,-0.0710093124802245,-0.262659883763864,-0.378262578181662,-0.111148382354403,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0
4,2,0.139627323923151,0.777951916636906,p2,C2,0,-0.271977586514743,0.12258253951722,0.354327422067388,0.0630606057575361,0.0638777671354795,0.187058591278229,0.118955691395596,0.460827801751141,0.0870863395727176,-0.0912299649169334,-0.145674361784374,-0.245520645930145,-0.398283607250487,-0.126475581148761,0.37156493686172,0.34178273696976,-0.145674361778012,0.371642078111655,0.104325638218809,-0.369951985801459,0.337086339575906,-0.215661304788246,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1
5,2,0.139568846248185,0.77730042104764,p1,C1,0,0.0408655991727531,0.311462302874612,-0.340444125562439,-0.206900107363614,-0.0778254673808069,-0.036201147523841,-0.319566062267909,0.103367244871531,0.401296021148059,-0.31282319054704,0.401296993388465,0.240419211529573,-0.0987035306753364,-0.346468499758987,0.143037064211764,-0.48603689215436,0.180434385908696,0.0697219356595838,0.438693866908792,-0.0362020552289743,0.143036540147962,-0.206899199658481,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
6,2,0.139568846248,0.777300421045575,cm,D1,0,0.0054679054042744,-0.326971218711608,-0.134100448147225,0.330958876971328,0.403296911492896,-0.258445325774689,-0.354962755651802,0.160261212969312,0.365899551852778,0.297313567759734,0.145037244348197,-0.0852311703150948,0.145037244348202,0.468011231761751,-0.113222422796496,0.0206923667213137,0.107639884708082,0.191390030723329,0.403296911492893,0.020692366721311,-0.3549627556518,-0.118876479526688,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
7,2,0.139568846247938,0.777300421044888,cm,D1,0,0.354073746816591,0.324130352201087,0.21450490054034,0.0823900193622352,-0.285495099382759,0.39517302107023,-0.264617074070134,-0.194231181742586,-0.0437547665482877,0.255604174786394,-0.285495099424211,0.116035328574354,-0.0063574069460577,0.532225375829813,0.493642593095395,-0.0546623354587496,0.25190226021947,-0.194231181670789,-0.0437547665897388,-0.023533517709483,-0.0063574069106083,-0.300154718742506,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
8,2,0.139568846247937,0.777300421044881,cmm,D2,0,0.417072293576027,0.333810904941324,0.277503447710965,-0.324119475709923,0.0566411395738302,0.125715881884771,0.0357631141155673,-0.18455063074405,0.298381473169227,-0.013852963081103,0.0566411380934329,0.404853574380646,-0.222496550808638,0.26276823557864,-0.222496553555064,-0.290474166497803,-0.443358859160142,0.0920705726726505,-0.185099192541168,-0.0138529656452305,-0.480756220174037,-0.184550628179922,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0
9,3,0.139507445542876,0.776616653901658,cm,D1,0,0.0061412821662422,-0.36819874148774,0.255783836498487,-0.0746927444041358,-0.244216163409805,0.204320666436772,-0.235849492044846,-0.0916512327072327,0.264150507913129,0.221279154939623,0.285156173252432,-0.368198740740343,0.0054261136175086,0.0484751087153199,-0.49457388640524,0.0811528135524407,0.006141282153232,0.327489083243783,-0.493858717820985,-0.197861160974807,-0.272873608920154,-0.368198740773681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
10,0,0.139269262739895,0.773967063061425,p1,C1,0,0.481524217805729,0.0619267115414183,0.0524304276170973,-0.0394649980107806,0.227827838608758,0.176913047072252,-0.26229194269119,-0.153575570193235,-0.0723574044878446,-0.357312119133156,0.19489146498268,-0.278815291533185,-0.180818184731327,0.112780839416951,-0.382422866284585,0.304976735711193,-0.115173996814153,0.383473563310987,0.156234299349034,0.446093423980988,0.466299761145803,-0.216195430863435,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1
11,0,0.139156908932847,0.772718789492171,p3,C3,0,-0.0788339883004731,-0.0870975020713077,0.188840195527899,-0.163315036319006,-0.146664759340151,0.182823908185853,-0.278677401088274,-0.280801378078752,-0.0788339882997805,0.490252767119507,0.15011090492068,-0.438920956545896,0.111381614313145,0.287086318763431,-0.497994484133582,-0.109457868427886,0.306693565089865,0.0888142251678498,-0.423941789606297,0.158823289405283,0.380746259616969,0.357095383000923,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1
12,1,0.139115891474599,0.772263328246667,p1,C1,0,0.181851519132077,0.176701844889627,-0.100353050201626,-0.479685048364965,-0.0861117366692407,0.101811133960503,-0.164737470116825,-0.165080078114684,-0.295704943851205,0.284796413549519,-0.442395721097205,-0.147224526998723,0.358587542504806,-0.349697666874191,0.0900686568585181,-0.276824262298756,0.480118690433192,0.11999992664026,0.128753502103281,0.449819998132409,0.287438319304231,-0.0807167882209974,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0
13,1,0.139006370183492,0.771047852679227,p2,C2,0,-0.157507774731103,-0.0459242709703649,-0.281728265448907,0.26958196059859,0.009887129716866,0.1760442623204,-0.449123169959938,0.047613427355382,0.079550416385601,-0.191163720951607,-0.0187864565953805,-0.451203993253196,0.205447026082413,0.379552277704616,0.355316933694786,-0.155894588023163,0.280381979878463,0.111828844837889,-0.374188216143707,-0.220110005505766,-0.0650478240790933,0.443767695187221,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
14,1,0.138970335199881,0.770648143006229,p1,C1,0,-0.486419904219347,0.264628992008483,0.338061342401281,-0.293843342991196,-0.24265121168687,0.131108054312205,-0.0407045351546369,0.322075475878963,0.136877594849663,-0.0600212477712761,-0.208163819458907,-0.392214441322883,0.406309890528579,0.0082228311475094,-0.402674400738127,-0.193678172513657,0.212492636687616,0.207436004346012,-0.133481657737159,-0.124495202225554,0.0621954331279099,-0.327740486868604,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
15,1,0.13891748458722,0.770062097333176,p1,C1,0,0.415745682139441,-0.154465081064813,-0.163775100631334,0.445348536346874,0.173121067707704,-0.0190931247068934,0.0611698718916785,-0.459881483950783,0.0610965071064991,0.282176755301337,0.345761411558331,0.198593764589038,-0.230388123324424,-0.400235983479748,-0.384074580551128,0.133757980203763,-0.114426797236066,0.0668076773703848,-0.0375835686226361,-0.200189304471053,-0.307231351938064,-0.133239001638107,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1
16,2,0.138917353236998,0.770060641104977,p1,C1,0,-0.191597545561104,-0.299336375795981,-0.322679290295468,0.151770690409052,0.239121344449202,0.274802760434408,-0.0357027540331998,0.234012577610058,0.0340197255468471,0.523028494239286,0.505574707455823,-0.0666221547875799,0.235121851421478,-0.0030031577477165,0.078268220102188,-0.232326210368782,-0.22901748342691,0.433565927672001,-0.114634201520117,-0.0323742665079066,0.0013048760612611,-0.499288319656841,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
17,2,0.138912307489294,0.770004701928823,p1,C1,0,0.394199852760184,0.314303643137808,-0.336774667487055,0.244936446770954,-0.34006686910757,-0.0328686613471155,0.224714399768876,0.0941646009114472,-0.13682952719389,-0.275635371507891,-0.0653160977801494,0.0083445688465208,0.127886563417267,-0.191303242046177,0.0135716341071298,0.274733837484901,0.397319729946721,-0.12353683840903,-0.410399209701028,-0.324072397644355,-0.179832376230483,0.474186602502936,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1
18,2,0.138899378580444,0.7698613761501,p1,C1,0,-0.31487146472866,-0.383085084136156,-0.051700864779982,-0.472042291841809,0.0958452748441714,-0.236665389487003,0.0142838910175969,0.263887227887527,-0.341946283864052,-0.106608857944971,-0.269326372175619,0.181424754996963,-0.193214815885504,0.448593578925263,-0.0779985239401096,-0.019984787899356,0.460578836723038,0.116455890915339,0.190966085657707,0.0495147679555458,0.383745174231413,-0.150506162171343,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1
19,3,0.138847789677314,0.769289610764161,p2,C2,0,0.177262414869967,-0.0657828795778825,0.443616209821545,0.0127695914717023,0.160670760239468,-0.342982359717592,0.460207864451244,0.28996907161146,-0.112546015674774,-0.293309146089621,-0.266575359634534,0.240295857983373,0.0159503935280827,0.160255317556359,-0.395071768837057,-0.213268605662887,-0.189560687654623,-0.0265066440531145,-0.0741735624483121,0.440536671087534,0.195052187138992,0.372475444590669,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
20,0,0.138675049056307,0.767376654099089,p2,C2,0,-0.1680602879,0.150218017042625,0.216555096715385,-0.24948601547327,-0.0526756725153847,-0.316103354225918,0.10117048133077,0.216835355795274,-0.437291057130769,0.0836006782899759,0.293478173638462,0.016983339537327,0.370401250561538,0.283452694547923,-0.0911372109769225,0.416687372053222,-0.244983364823077,-0.116251337967971,0.485785865946154,-0.18286867672062,-0.321906441746154,-0.382720692978568,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
21,3,0.138675049056307,0.767376654099087,p3,C3,1,0.1618211028,-0.2941605027,0.495765639662309,-0.222515445156391,-0.0426958987992317,-0.0892807676510918,-0.388849744953078,0.243805926112151,-0.31192666803,-0.0226634288984438,0.41884256273923,0.0439539098542046,-0.235003591106923,-0.289132783909041,-0.119618975722308,0.177188587359504,0.072688716585385,0.377040603617451,0.149611793508461,0.110571248606855,0.341919485816153,0.310423264864801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1
22,2,0.138675049056306,0.767376654099082,p2,C2,0,-0.0132629040104893,0.0558558540033998,-0.397878288625874,-0.343848178512491,-0.205570596318182,-0.143996162254545,-0.282493673241258,0.122473192756051,-0.128647519395105,-0.410465517265142,-0.474801365548951,-0.077378823501895,0.0636601729125876,-0.210613501007196,0.140583249835664,-0.477082856017791,0.448275557527972,0.1890905315087,0.25596786522028,-0.0107614847492476,0.332890942143357,-0.277230839759843,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1
23,4,0.138675049056306,0.767376654099081,p2,C2,2,-0.254903475599035,0.368922212378854,-0.0545076895,-0.3984137979,0.387454613836645,-0.241276554919943,0.272069998452028,0.225044816348599,-0.0740838477018152,-0.108041877414651,-0.266391540009507,0.0918101388432954,0.0028392292212597,0.158427477595947,-0.343314616932586,-0.174659216167299,0.195146921528953,-0.041424538661997,0.464377690759723,0.0251928000906522,0.0797623061443329,0.424896832606544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0
24,1,0.138261425325617,0.762805798172102,cm,D1,0,0.0208667134498513,-0.382073541963462,-0.47913328654197,0.207429011169743,0.033807076455598,0.0281550628500341,0.294331263062219,-0.064538168430591,-0.205668736931171,-0.110106362482667,-0.466192923542833,-0.202799593749125,0.0048680494118468,0.345690436429866,0.294331263070397,-0.341061019081825,-0.205668736939351,0.166416488168567,-0.255656137201383,-0.382073542021872,0.244343862806796,0.207429011111333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
25,2,0.138158469544023,0.761670180967315,cm,D1,0,-0.215217580988755,0.317400673301333,0.284782419011224,-0.230472994996257,-0.200395735236037,-0.0714009049346762,0.0603067760177639,0.0201701136954334,-0.439693223982236,0.0667575646093625,0.299604264763963,0.158328583239472,-0.230039139971277,-0.389548862739821,0.0603067760177244,0.29648705278348,-0.439693223982276,-0.209559374478685,0.0092583487749532,-0.527707332283844,0.0092583487749533,-0.251390393195799,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
26,1,0.13815028960889,0.761579991371966,p1,C1,0,-0.0217083113201797,-0.252541012613719,0.216540173975442,-0.392468384240661,0.0079044257087639,0.353116747320483,0.116564120269751,-0.0133282522134611,0.351483644408824,0.3005638616763,0.389913283185645,0.0269488530609355,-0.385253411124213,0.216691147718342,-0.129081043418172,0.113164686849708,-0.287828201085782,-0.326852615659459,0.44890885444727,-0.242979901701496,-0.346823772347346,-0.056923860896975,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1
27,1,0.13815028960846,0.761579991367223,p1,C1,0,0.13300365825026,0.12538825376149,-0.395338982086255,-0.342870084741595,-0.116982606935098,-0.0667197049132511,-0.393283149379097,-0.0665771539100468,0.272317257416181,-0.113219648796353,-0.149693838204558,-0.469363062265828,0.0545740657880746,-0.283307604205428,0.331312058612831,-0.383148571862054,-0.130259046939151,0.209261718766792,-0.386431133015215,0.312788876513315,0.409300962992028,0.126733418452958,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
28,1,0.13776371462191,0.757323816924129,p1,C1,0,-0.33908968516133,0.0238713458963895,0.422139284499236,0.161362288639376,0.22147212174061,-0.0274446340519931,0.389825310367416,-0.245556000433915,-0.0736224291299181,-0.163606899134274,-0.127945490286941,-0.433726075225584,0.022302906195784,0.378880804966127,-0.2343762953355,0.278725167246771,-0.0192993679725651,0.106512276957107,0.133146108836054,-0.345711638153353,-0.334714028252844,-0.251621336206653,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
29,2,0.137728137819281,0.756932717118708,p1,C1,0,-0.246572368463017,0.339235573423622,-0.0969445871505531,-0.246863550628702,-0.150841807252609,0.036360144077581,0.322144845276466,0.0432372636087447,0.083598832869878,0.180976000910871,0.172097181234915,-0.187764594185391,-0.0724542441232171,-0.521228969162218,0.420157230208093,-0.307524236352913,0.170009824091737,0.442527717373837,-0.413302304056094,0.119970235611653,-0.3544805189356,-0.149132267877086,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1
30,2,0.137728039803982,0.756931639764993,p1,C1,0,0.479596107754433,0.200345317250444,0.364915740439666,-0.0501032106863322,-0.389006495476952,-0.224513003526584,-0.180988832922631,-0.405080730040595,-0.223961079238165,-0.0039771507235451,0.129457325274612,0.0928491818122557,0.0070968446686548,-0.153938104284451,-0.197702249343599,0.270224464234442,0.0626828201982563,0.360089181185378,0.0942800881019059,-0.415233213036222,0.354665157643819,-0.32536849608479,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1
31,3,0.137682858655405,0.756435104252022,p1,C1,0,0.081703898057614,-0.230417500884707,-0.30672619568268,0.383857164495034,0.497540598974443,-0.067348513176678,0.45626868840176,0.218102110378215,-0.236272363034872,-0.160942519892889,-0.0753293087702486,0.533127921836664,0.0461373591747666,0.28600016773275,-0.219297309776001,-0.435784521480995,0.244734264795234,0.0418084182064445,-0.0298690668209791,0.0213318819910278,-0.290924977419036,0.108945178995136,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
32,2,0.137658595805221,0.756168525613895,p2,C2,0,-0.317083325563675,0.0195134919559446,-0.15208883622562,0.344248993311041,0.017922185098355,0.560803394385321,-0.0137976680575409,-0.0489952119811109,0.379631016930276,0.0880221958930344,0.0867531929247133,0.207303598691097,0.279080155948022,-0.168276614779174,0.0476283180184058,-0.317372566150308,0.31820503085433,0.356399550062231,-0.215506281530545,-0.236380353459988,-0.418660369596719,0.275407337371911,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
33,3,0.137627564305482,0.755827647538242,cmm,D2,0,-0.316929149738694,-0.0091212145066725,-0.041670422752327,0.1497994856157,0.295445085151432,0.344433214851932,0.0707002137545568,0.503351837446769,0.320700213754561,0.070339135554552,0.345955342357684,-0.203754943742828,0.0707002137545567,-0.362673566337665,-0.179299786245445,-0.247498109635127,-0.179299786245444,0.388176380744231,0.0959553423576852,-0.0885794870402851,-0.454554914848567,0.229257758149393,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
34,2,0.13762574615513,0.755807677712672,p1,C1,0,-0.103312103785735,0.241468244433893,0.177071915411157,-0.44322685050392,0.150381794060126,0.134684396335031,-0.47036955451675,0.190367064526212,-0.029188125108003,-0.260962812075929,0.311306991342854,0.35799240089049,0.214506764146675,-0.132993343177299,-0.256436587565667,0.012740728629268,-0.0631455135095181,0.513773273848716,0.484844586890012,-0.0812164601749543,-0.304426687965155,-0.258294941131507,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
35,2,0.137607466236848,0.755606913169403,p1,C1,0,0.0615966744397939,-0.235282742786972,0.0778457035306235,0.43987194040276,-0.291126614575287,-0.180029919574288,0.448614208915472,-0.0905401430672911,0.176160578491862,0.014953887115306,-0.0365683614757277,0.189566765096195,-0.295083301075714,0.0951565693536368,0.110019420942178,-0.512532298710188,0.396607006724868,0.179716235167923,0.318798065477491,-0.333214880028932,-0.147181970095561,-0.414600161468152,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
36,2,0.137583896133304,0.75534808698215,p1,C1,0,0.0483168081610347,0.285412053168053,-0.331627559324383,-0.259511246440467,0.178871130609747,-0.190389954279022,-0.251411668429091,0.296153773101456,-0.27903554387059,0.0223760614328857,0.474431173070334,0.272591804937223,-0.063389771114668,-0.320877384311872,0.463789191738043,-0.0754922035262938,0.256140731467864,0.105060921199693,-0.0039598920713575,0.015255690085982,-0.0932843497369325,0.52134938803236,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
37,2,0.137445997030593,0.753834688595778,p1,C1,0,0.425661561542688,-0.178974979228669,-0.428488791916182,0.0614185200668033,0.0464537340007017,-0.0501688376500948,-0.220002980711232,-0.117744185107074,-0.213641125417716,0.450068632418593,-0.179233565369169,0.177338494350831,0.0271679419599116,-0.324383473700576,0.0878157644587347,0.242532541912552,0.34705119889664,0.333979783154718,-0.361762152343879,-0.35326476946652,0.296629115699504,0.0637516907494388,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
38,2,0.137432939565156,0.75369146575845,p1,C1,0,0.167979930455553,-0.424195015226538,-0.252160164614376,-0.196986096638082,0.256019273576262,-0.0398438043206346,-0.026478238133922,0.0806870493673133,0.473207286529158,-0.208309286066305,-0.3012491116039,0.0734608053476511,-0.0630405129998153,0.385250801504502,0.181709477320724,0.26015606241378,0.439508411569458,0.164809531222045,0.0253090564810943,-0.189256143965427,-0.106818537380236,-0.430282180838306,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
39,3,0.137411886644148,0.753460572180766,p3,C3,0,0.0666674114552964,0.0057116104002255,-0.188083878913212,-0.0973897301342062,0.104754676572618,0.277883369773419,0.283331436705296,-0.163358808440223,-0.275689465254914,0.163097059561824,0.374145646970096,0.223508638208818,0.101546052648001,-0.369470866572587,-0.433332588545843,-0.282963524195453,-0.173267733165436,-0.371813832919653,-0.140311640725343,0.402264262560183,-0.486418391746559,-0.0133155984423466,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0
40,3,0.13738197279289,0.75313255901198,p1,C1,0,0.0829842431634681,-0.328598081621907,0.0837241845299121,0.380064450546082,0.361457314825793,0.26892350573019,-0.34248622104406,-0.0978006823396503,-0.055612773127327,-0.0888932786825852,0.357746126208895,-0.329662703243892,0.385895279746077,-0.056344480380854,-0.380582621581698,0.174309387411444,-0.105905811279532,0.181228612520834,0.153173127696994,0.089722715592471,-0.191777681938524,-0.327544370032133,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
