crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6
1,0,0.25,0.906899682117109,p6m,D6,0,0.5,-0,0.25,0.43301270189222,0.25,-0.43301270189222,-0,0,2,2,2,2,2,2
2,1,0.217709804308227,0.687757297475441,cmm,D2,0,0.070083721571583,0.041684441151709,-0.494483684117383,0.041684435535692,0.005516278428418,0.472290155063852,0.070083684117384,-0.393735243104571,1,1,1,1,1,1
3,2,0.217129038747392,0.684092850693753,cmm,D2,0,0.473001475653723,-0.2540191071264,-0.02700150572149,-0.25401911169046,-0.059864523119431,0.178993705623888,-0.4941354468128,0.178993705624096,0,1,1,1,1,1
4,3,0.216506350946272,0.680174761588851,pmm,D2,0,0.315374952640265,0.170253093443857,-0.05962471799614,0.386760014864095,-0.309625239258254,-0.046253589880549,0.065375004614128,-0.262759518427403,1,1,0,0,1,1
5,1,0.183012017908369,0.486002442128765,p3m1,D3,0,-0.356999999711718,-0.261907718913811,-0.173986113557141,0.05508163139518,0.459986113268859,0.055081630895862,0.143,0.23809364905389,1,1,1,1,1,1
6,2,0.178410153240889,0.461868522310421,cmm,D2,0,-0.15524999865815,0.193996839361804,-0.405250013317068,-0.239015885884718,0.190242280987924,0.283201897989682,0.499257730987293,0.104791744748793,0,1,1,1,1,1
7,2,0.166666666666667,0.403066525385383,cmm,D2,1,-0,0.422505199586675,-0.333333333333311,-0.024168469564356,0,-0.024168260457963,0.333333333333311,-0.024168469564356,0,0,0,1,1,1
8,3,0.125,0.226724920529277,pmm,D2,0,-0.375,0,-0.125,0,0.375,0,0.125,0,1,1,0,0,1,1
