crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,contact_graph_1,contact_graph_2,contact_graph_3
1,0,0.288675134594813,0.906899682117109,p6m,D6,0,0.362652634233333,-0.33802367846148,0.362652634233333,0.239326590728146,-0.137347365766667,-0.049348543866667,3,3,3
2,1,0.25,0.680174761587832,p31m,D3,0,0.020147816237972,-0.247134323723174,-0.479852183762027,-0.247134319004972,-0.229852179675945,0.185878380528146,2,2,2
3,2,0.166666666666667,0.302299894039036,cmm,D2,0,-0.498632116533333,0.043238467729914,0.168034550133333,0.043238465021834,-0.1652987832,0.043238461148251,1,1,1
