crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55,contact_graph_56,contact_graph_57,contact_graph_58,contact_graph_59,contact_graph_60,contact_graph_61,contact_graph_62,contact_graph_63,contact_graph_64,contact_graph_65,contact_graph_66
691,6,0.114930222423643,0.57500150502691,cm,D1,1,0.0901226449,-0.1911620778,0.387084908445888,-0.247199374969044,-0.0921600834682112,0.0294928501203853,-0.250556210159457,0.276565568536892,-0.319745777477685,-0.260838085336433,0.129582964545857,0.090039070174352,0.328647949108818,-0.0248911522492573,0.174411731942255,0.375401136510938,-0.446635635865557,0.156612732304651,-0.0544766556584205,0.396518194235824,-0.313903533622265,-0.0310518971263352,0.328647949108779,0.20496929259803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
692,6,0.114919705647869,0.574896277957904,p1,C1,1,0.0680156836,-0.3237369847,-0.433593626586531,0.241913381139378,-0.0279119525852468,-0.0493531104731012,-0.19003107443582,-0.408314840592201,-0.20409214968082,0.25437239726704,0.0410086819733709,0.496141104718641,0.0254093130365864,0.266831674747813,0.377284337378458,0.003190417941986,-0.216967603925868,-0.180059329456536,-0.443390090354574,-0.140574995547827,0.336904863003689,0.229454982189217,0.161143739576755,0.0813530494655891,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
693,7,0.114915528625865,0.574854486852572,p2,C2,1,0.3781219765,0.2147869172,-0.126378485790908,-0.355272788703433,0.344465530588481,-0.146757159383595,-0.0972225021702974,0.302236985761169,-0.402401613492286,-0.0341903130416641,-0.350355358089541,0.18967013941924,0.143377767819636,-0.0354646324913139,0.103865260598548,0.190944458868888,0.165982282081089,0.412222091085943,0.0812607463370954,-0.256742264708369,-0.45444736835451,-0.258050881874743,0.201690396772693,-0.452494695532122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
694,6,0.114884599357079,0.574545086783704,cm,D1,2,-0.0423161811,0.0148733741,0.1710816596,0.1380788564,0.137168295050086,0.425612636890489,-0.274371069817703,0.188010273801974,0.419326263515521,0.102891969961761,-0.135965758163871,-0.217706028233712,-0.0662349150176344,0.532481803687527,-0.265220878111286,0.417597204330439,0.498080017421618,-0.112959207759011,0.0115899682261133,-0.39383436862012,-0.283520299521722,-0.0415766950650974,0.340571057318877,0.318742617805752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
695,5,0.114865476541447,0.574353833901612,p1,C1,1,-0.4785271061,0.147984691,0.0347390660452084,0.172335778403053,-0.270054795252106,0.421590920609006,-0.0638544719431337,-0.191553033690349,0.275026485416851,0.11809576260252,0.333938876699799,-0.103952972943755,-0.0427020333418981,0.388620745356589,0.0025923911876435,-0.411464664088686,0.299874245235878,0.346478992364145,-0.2665726178949,-0.299634781021957,-0.491608608150381,-0.253427488371226,0.112182835197037,-0.0439482326193384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
696,4,0.114854037466975,0.574239443584677,p1,C1,0,0.239966707201507,0.0777022116248886,0.45048187602033,-0.014217119242149,-0.496700109292703,-0.237770372437868,-0.424214038104337,0.178304790557252,-0.0569236138647531,-0.0432292013263769,-0.214059061567649,0.367149627294065,-0.0745683781661125,-0.272258592415404,-0.292880787158841,-0.343711316433824,0.0597966934367781,-0.458569695742637,0.0294512714317153,0.169620931113993,-0.198069793108762,0.137998709809516,0.0134620029728274,0.398771848598544,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
697,5,0.11485076243066,0.574206695441738,cm,D1,0,0.253699215611333,-0.234257296675295,0.253699215611327,0.182780679308625,-0.312760615463157,0.140826472579941,-0.31276061546316,-0.192303089946617,-0.0889561231494518,0.0891124537473258,-0.0889561231494564,-0.140589071113994,0.0305514843391631,-0.557235564796054,0.0305514843391482,0.50575894742939,0.0439637272889885,0.276449326474075,0.0439637272889909,-0.327925943840738,0.463434892223137,0.0891124537473305,0.463434892223138,-0.14058907111399,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
698,6,0.114842575956431,0.574124840333724,p1,C1,0,-0.231323094875179,0.243507387213733,0.0303250490084092,0.374484965376561,0.0906085854531323,-0.393792023223711,0.0647176575011445,-0.0527763078508069,0.324472798546607,-0.169049652985233,0.489229052929197,-0.0090163887835258,-0.28288609087815,0.0196848538252644,-0.138822467160348,-0.159203215454187,-0.139024213379068,-0.388888278764141,0.240408837695458,0.281640629307364,0.268258053488677,0.0536500808433162,-0.179758616929882,0.467329579195366,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
699,7,0.114783011799408,0.573529444532233,cm,D1,0,-0.390287771630275,0.32802578314386,-0.203881090038207,-0.453973189152031,0.193739863315236,-0.224406624697992,0.431471340013056,-0.0154002084156591,-0.0037516944415218,0.310673924674093,-0.119852542052913,-0.140381774640692,-0.318663633434069,-0.255162910437502,0.0789563831129359,-0.0255968868489123,0.452039821993607,-0.244042935699926,0.18397447478692,0.178539733119497,-0.191477593280248,0.442808500376913,0.410902390155479,0.213242476778354,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
700,6,0.114778858512616,0.573487940321225,p1,C1,1,-0.0039000302,0.4727172712,-0.355268922400834,0.236450968227772,0.15445424697111,-0.3232924176394,0.0109758251952904,0.190116840490871,0.330170681853753,-0.17557484942908,-0.214171505079527,-0.346579178214029,0.404136628854155,0.177918077245886,-0.28817368448175,-0.129276571488849,-0.49411275988262,-0.0278574279859,0.211227729803345,0.302348387511677,-0.189276025604206,0.0778851974608727,-0.021262606028717,-0.47100948847982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
701,6,0.114766220437633,0.573361656009532,p1,C1,0,-0.0460692976474994,0.136015735276334,-0.341097827994885,-0.191433720545667,-0.330727169362256,0.0654394846345688,0.0110417286828161,-0.436490623991564,0.266731644157263,-0.194361293394146,0.340009903549984,0.0231598276827086,0.257741110963362,0.23744232155586,0.0376353181065675,-0.208503952416842,-0.0362925024653727,0.553826702915344,0.053765440823518,0.342699470506228,0.484449590537107,0.201547938937972,-0.145903430550604,-0.0706682924607969,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
702,7,0.114748818418567,0.573187791365819,cm,D1,1,-0.3722107348,0.2536080326,-0.105430940553961,0.130908235871005,-0.105430940553387,0.376309539284694,-0.0252495490256508,-0.407628708060279,0.474750450974536,0.0488210794316736,-0.275249203738909,-0.220017766035057,0.224750796260999,-0.13878986259458,0.248875328875977,0.417781494987554,0.248875328875977,0.0894362801672388,0.200626017559203,-0.367015979343777,-0.299373982440797,0.0082083507141309,0.08851161636601,0.253608887577396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
703,6,0.114741733753376,0.573117015591573,p1,C1,0,0.344854799266083,-0.271393535322438,0.48103071039233,0.147135449462876,-0.440969941434901,-0.139001962833921,0.148127254604582,0.433721934175369,0.134316462651618,0.0334082127411671,-0.0327568601198901,-0.123910465987744,-0.0357972350319078,-0.353373791988474,0.0292518356914453,0.237428030456611,-0.38899699422048,0.33626467589472,-0.161349152190785,0.365232276384674,-0.232998117129401,-0.236009087077273,0.351058653121307,-0.0419939406055651,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
704,5,0.114732775348168,0.573027527419065,p1,C1,0,0.24831777596278,-0.365281308940081,-0.0388128487392989,-0.528194871235566,-0.10890692428753,0.183059059191172,0.12001944250232,0.198780304204571,0.114404403833376,-0.0306165360027849,-0.460073107918117,-0.10970162452248,-0.272466594891316,-0.241831239773179,-0.109655276299677,-0.080131167123769,0.238960765426829,0.395013330623011,0.313221584761259,-0.145186023756996,-0.297261789326478,0.0519984481269309,-0.316586175424147,0.280648851709171,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
705,5,0.114716399867717,0.572863965936356,p1,C1,0,0.104621049775107,-0.469460165706947,0.0624342313515131,-0.0475610541566153,-0.0993576601041301,0.280149832382287,0.148104556242495,0.403234234586794,0.322330052140901,0.253953002767805,0.170812163193718,-0.249782797507935,-0.4615675253632,0.176887105083784,-0.35704828300082,-0.0273557346204127,0.373063007860239,-0.358106411859187,-0.426797755643206,-0.245929339295244,-0.142859393880838,0.0548788649833327,0.10593596512822,0.177709913242339,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
706,5,0.114690757776346,0.572607894643324,p1,C1,1,0.0499708376,-0.2347113038,0.286055665209858,-0.165367264988575,0.337418803752415,0.20912488542896,-0.0429215573362591,-0.0003701974914718,-0.239992282754817,0.117013825528076,-0.400188344265086,-0.279510062288804,-0.176883462095788,-0.331958220279398,-0.2816041016206,0.342589392041677,-0.110848358163888,0.495750600426166,-0.0081239454730687,-0.487316210825482,0.182961104926115,0.0395409859852497,-0.243114465978883,-0.112346440536398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
707,5,0.114687797340228,0.57257833433266,p1,C1,1,-0.2200359208,-0.0791716806,-0.0114348286772327,-0.264370253672433,-0.155797610539571,-0.442618817896607,0.132929146654207,-0.0861226560406103,-0.24949971639479,0.354337840866328,-0.0338134453522921,0.276282758272082,0.400650683632403,-0.338286234184198,0.380315625960096,0.116143564704248,0.152450156061463,0.142420761337214,0.36079461655284,-0.112399852673576,-0.469533860772024,0.289544795381557,0.116336954674902,0.449684087005994,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
