crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55,contact_graph_56,contact_graph_57,contact_graph_58,contact_graph_59,contact_graph_60,contact_graph_61,contact_graph_62,contact_graph_63,contact_graph_64,contact_graph_65,contact_graph_66
1,0,0.144337567297406,0.906899682117108,p6m,D6,0,0.263629131841667,-0.0750887231916667,-0.486370868158333,-0.219426290489073,0.263629131841667,-0.36376385778648,-0.486370868158333,0.0692488441057398,0.0136291318416666,0.0692488441057397,0.0136291318416667,-0.219426290489073,0.263629131841667,0.213586411403146,0.0136291318416667,0.357923978700553,-0.236370868158333,-0.0750887231916667,0.0136291318416667,-0.508101425083886,-0.236370868158333,-0.36376385778648,-0.236370868158333,0.213586411403146,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
2,0,0.138675049056307,0.837138168108098,p6,C6,0,-0.387879802169231,-0.0510433642197573,0.419812505523077,0.14880865203819,0.0351971209076924,0.548512684554085,0.0736586593692305,-0.184278041725056,0.150581736292308,0.0821913132855412,0.265966351676923,-0.384130057983003,-0.118649032938462,0.0155739745328918,-0.195572109861538,-0.250895380477705,-0.310956725246154,0.215425990790839,-0.0417259560153846,0.282043329543488,-0.0032644175538462,-0.450747396735652,0.227504813215385,0.348660668296137,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
3,1,0.137145942588824,0.818778470336648,p2,C2,0,-0.163183553966956,-0.393431301642461,0.28498091535029,-0.271842623244571,0.199670989138341,0.23505008111124,0.422126372244993,-0.0342986022138334,-0.370528590860982,-0.213864951928147,-0.007674047755685,0.414616430825554,0.473962874315416,0.235050641942172,0.147834487067917,-0.0342991630447653,-0.111347051896532,-0.124082057486456,-0.266855586720134,0.324833536383863,-0.318692088790558,0.0554842922278577,-0.0595105498261085,0.145267186669549,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1
4,1,0.137145942588792,0.818778470336265,p3,C3,0,0.471123967416613,-0.145360855320541,-0.202747678600993,0.123988866441769,0.40092444285938,0.271749445003772,-0.0807125013885986,0.451315297906041,0.193579383788581,0.451315769110493,0.0564338492750174,0.213771792892905,0.263778908345816,0.0342054687861825,-0.254584147406206,-0.145360384116088,-0.339894029264609,0.361532371454906,0.211942439540603,-0.235143781771675,0.0045973804698049,-0.0555774576649529,-0.0472390883354077,-0.32492670822281,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
5,2,0.135045378368862,0.793889282578016,p2,C2,0,0.0435095117913644,0.453513609816208,0.329984020228444,0.288117475255017,0.257035003353305,-0.247115659404641,-0.313253233987932,-0.0621971593549696,-0.0997277424255036,0.103198975207419,0.418509511792972,-0.030609308460091,0.168509511792978,0.0716111243073343,-0.206490488209126,0.351293177049982,-0.206490488209125,-0.310291361199606,-0.420015979771559,0.185897042487592,0.0070350033533073,-0.144895226637215,0.0435095117908744,-0.412511793967031,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1
6,2,0.13397459621584,0.781349611685364,p1,C1,0,-0.341805990475509,0.255814712597821,-0.109755476986597,0.121839607020992,0.0242189721890564,-0.378160138298333,-0.377705257577573,-0.146110094771356,-0.24373022024214,-0.378160647659643,0.390243640773737,-0.280084181625565,0.0242186781091701,0.353890669270587,0.390244817093293,0.255814203236508,0.390244228933514,-0.0121349891945288,0.158193127284823,-0.146109076048738,0.158193715444601,0.121840116382298,-0.109756065146375,-0.146109585410045,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0
7,2,0.133974596215561,0.78134961168211,p6m,D6,0,0.153897591469876,0.426823087759356,-0.212127812239014,-0.207151508499823,-0.114051600961248,0.426823087598807,0.385948398975261,0.0248992990760163,0.25197380289874,-0.207151508573136,-0.346102408593616,0.02489929898878,0.385948399017589,0.292848491507139,0.153897591427548,0.158873895328234,0.0199229953086992,-0.341126104752041,-0.346102408551288,0.292848491419902,0.0199229953510267,-0.073176912320918,-0.114051601003575,0.158873895167684,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
8,1,0.133974596215561,0.78134961168211,p6m,D6,0,0.105410528173123,-0.446488135408115,-0.394589471827545,0.1515880759452,0.337461335742335,-0.312513539193133,0.0695121433102102,0.151588075944043,-0.162538664259002,0.0176134797290597,0.0695121433108784,0.419537268375166,-0.0285640680429391,-0.214437327839528,-0.162538664257999,-0.446488135408694,-0.296513260474062,-0.214437327840106,0.337461335741333,0.151588075944621,0.203486739526272,-0.0804627316245452,0.471435931957395,-0.0804627316239665,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1
9,2,0.133974596215561,0.781349611682107,cmm,D2,1,0.1809567037,0.2955027813,-0.286872650894512,-0.276725205805489,-0.0548218442457126,-0.410699803614672,0.177228966083397,-0.0087760165616104,-0.054821840565403,0.125198581247572,0.445178156674365,-0.276725208287575,-0.188796438930512,0.357249387575408,-0.420847247419467,0.223274792953468,0.44517815851452,-0.0087760158564518,-0.286872649054358,-0.0087760133743672,0.177228964243242,-0.276725208992733,-0.0548218424055578,-0.14275061118355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
10,1,0.133974596215561,0.781349611682107,cm,D1,0,-0.224599978411658,0.337867969540115,-0.456650786001823,-0.0640558190942785,0.275400021581245,0.203893373324554,-0.0906253822138373,-0.430081222884862,-0.22459997842585,0.0699187771089923,0.0433492140194642,0.337867969552406,-0.322676189775618,-0.29610662665701,0.141425425362137,-0.296106626681592,0.275400021567054,-0.0640558191065688,0.0433492140052728,0.0699187771212831,-0.0906253821996446,-0.16213203045374,0.409374617793259,-0.296106626669301,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0
11,1,0.133974596215561,0.781349611682107,cm,D1,0,0.258911962228432,0.392904020933299,-0.205189652909324,0.392904025828904,-0.107113440849388,0.0268786183727602,0.160835751581735,0.0268786208205628,-0.473138841100728,-0.0711975917566532,0.0268611546595539,-0.473121380403338,0.0268611560727934,0.526878619596663,-0.24108803494509,-0.205172190420017,0.294810349917156,-0.205172185524412,0.392886560563852,0.160853214588322,-0.339164247005025,0.160853217036125,0.0268611574860329,-0.205172187972216,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
12,3,0.133974596215561,0.781349611682106,cm,D1,0,0.0737371011976471,0.128460440004907,0.439762504981812,0.0303842286516876,-0.32818668744898,-0.371539559994805,-0.194212091233475,0.128460440005099,-0.0602374950180785,-0.103590367563874,-0.426262898802461,0.26243503622047,-0.0602374950178571,-0.371539559994996,0.207711697413045,-0.103590367564064,-0.0602374950177473,0.360511247573881,0.207711697413265,-0.371539559995187,-0.328186687449201,-0.103590367563683,0.439762504982032,-0.237564963779435,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1
13,1,0.133974596215561,0.781349611682105,cm,D1,0,-0.40070999294001,0.0714938623226007,-0.13276080041538,0.339443054834701,-0.132760800602389,-0.196455330027546,0.0012137957300512,0.571493862444067,0.0012137956832992,-0.428506137555935,0.367239199537865,0.205468458619139,0.367239199444361,-0.0624807338119836,-0.132760800508886,0.0714938624035776,0.0992900071067432,0.205468458538162,0.0992900070132391,-0.0624807338929604,0.233264603298929,-0.294531541421349,0.233264603252176,0.437519266147528,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
14,1,0.133974596215561,0.781349611682105,cm,D1,0,0.0251217221938542,-0.428243046275464,0.19499470321314,0.205731549771165,0.0610201069390599,-0.0263192577639254,-0.206929085414037,-0.294268450127476,0.427045510821032,0.0717569536231761,0.293070914546951,-0.160293853911914,0.0610201070560994,0.437782357373828,-0.206929085492063,-0.0263192576963529,-0.340903681649104,0.205731549906311,-0.206929085375023,0.437782357441401,-0.438979893021927,-0.160293853979487,-0.0729544892179819,0.205731549838738,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
15,2,0.133974596215561,0.781349611682105,cmm,D2,0,0.248888455730525,0.38145800983078,-0.117136947792452,-0.252516586535736,0.0168376481616474,-0.484567394255569,-0.483162351580525,-0.154440375333373,0.248888455988353,-0.154440375031463,-0.117136948057548,0.479534221033142,0.0168376482261045,0.247483413503577,0.248888455859438,0.113508817399658,-0.251111544076104,-0.0204657790061707,-0.251111544205018,0.247483413424952,-0.483162351709438,0.113508817097748,0.0168376483550182,-0.0204657789275459,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
16,1,0.133974596215561,0.781349611682104,cm,D1,0,-0.363109081628859,0.178989283317579,-0.0951598884033881,0.44693847643663,-0.131058273265634,-0.419086928723659,0.270865515579637,0.0809130723082268,0.0029163231485148,0.0809130716203016,-0.49708367724866,-0.0530615245952598,-0.229134484817536,-0.0530615239073346,0.136890919165489,-0.419086928035736,-0.363109080437337,-0.285112331820174,0.270865514785289,-0.187036120122895,0.0029163223541676,-0.187036120810821,0.136890918768315,0.312963879533142,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
17,1,0.13397459621556,0.781349611682102,p31m,D3,0,0.329671714224284,0.34447192778859,0.0617225218082075,-0.38757887980635,0.329671714269426,-0.119629687349163,-0.438277478176745,-0.253604283590786,-0.0363536895526334,-0.0215534759828156,-0.0363536895225391,0.246395716448305,0.195697118031292,0.112421120206682,-0.170328285745623,-0.253604283564725,-0.17032828576067,0.478446524004152,0.463646310462415,0.112421120232745,-0.304302881983755,-0.0215534760088788,-0.304302881953661,0.246395716422244,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
18,2,0.13397459621556,0.781349611682099,cm,D1,0,0.493599424089273,-0.270056943831495,-0.274349768341866,-0.136082347615904,0.49359942408924,-0.0021077514003736,0.359624827873705,0.229943056168517,-0.0064005759107075,-0.40403154004706,0.0916756354425839,0.229943056168547,0.225650231658118,-0.0021077514003464,-0.37242597969517,0.229943056168487,0.225650231658152,-0.270056943831469,-0.0064005759107432,-0.136082347615937,-0.14037517212631,0.363917652384079,-0.140375172126276,0.0959684599529563,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1
19,2,0.132970011010515,0.76967591468361,p1,C1,0,0.0866414786114912,0.191846521067918,0.446700500296727,0.218149285177751,-0.212146961575944,0.0486005472180383,-0.198682924050547,0.314199521248583,0.144197356410622,-0.0677905645793357,0.409170106367496,-0.0451292077609303,-0.358055902140983,-0.173738555001547,-0.205411185371027,-0.429733664242883,0.059561564585921,-0.407072307424107,0.0290830335697573,0.451483037600175,0.29630904207818,-0.285933018943455,-0.0925501210816905,-0.188929853060207,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0
20,2,0.132970011010354,0.769675914681754,p1,C1,1,0.0897685076,0.2185724003,-0.163356718194053,-0.457564761587528,-0.271078858821456,-0.155254306088113,0.477413295269181,0.0876821925659347,0.230641629435213,-0.0114532715924764,0.085265894958449,-0.271646066370017,0.0830122780034747,0.48843194469053,-0.144753963656827,0.351148899589116,-0.0343310282129521,-0.0341157077202033,0.350238552606615,-0.24898363024229,-0.409726621304992,0.328486463461388,-0.257614047082654,0.110344628693663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1
21,2,0.13272095701764,0.766795395399781,p1,C1,0,-0.0785677466085621,-0.325328226400828,0.241822813883158,-0.272242619442736,-0.0413630931745734,-0.0152446324833438,0.391047328758226,0.219094850999097,0.126387396781378,0.239454864083776,-0.119388548517928,0.33972247819238,-0.269350803059337,0.120700260279228,0.488622876656735,-0.0277622375746309,0.0064827458598934,0.573422771256883,0.223962944679998,-0.0074022244898525,-0.273088678764233,-0.144715334612877,0.115951519505245,-0.505942912507098,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
22,3,0.13269479705826,0.766493146833314,cm,D1,0,-0.0509230273598869,-0.367419404768144,0.449076972640138,0.130449230239925,-0.0943612985940603,0.314527614630265,-0.232090484268675,0.0818594887883827,0.267909515731325,-0.318829663316575,0.135472831812655,0.447222411685464,0.135472831809122,0.181832817568945,0.492577717935449,-0.177564538166386,-0.0074222820645513,-0.0594056363618066,-0.242095570215467,-0.18334144431806,0.257904429784533,-0.0536287302101318,-0.35975089271058,0.314527614628123,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
23,2,0.132648550132669,0.765958961995105,p1,C1,0,-0.0580909813645176,0.0174455979043522,-0.3099716925211,-0.169176298807394,-0.186902752421662,-0.404200951539822,0.154473605071893,-0.32336451684443,0.295108851002352,0.184572145713354,0.439366452932766,-0.302343830803644,0.459536128135426,-0.0378145590552989,0.0296475125080994,-0.55746064672433,-0.186629085917597,0.330212783633511,0.078558586072653,0.337831840898909,0.195273812883256,-0.0612235348289484,-0.311455178481569,0.0961166537537406,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
24,3,0.132610069491884,0.765514625190334,p1,C1,2,0.1491708382,-0.088907078,0.299890097177269,-0.309943560043834,-0.140269059634481,-0.209891050307048,-0.451013689031365,0.308551205124944,0.390358818470617,0.0612677580143862,-0.473230332845455,-0.16618290143489,0.0366291428985148,0.434805688188524,0.151907964351184,0.177383701331082,-0.186360531437577,0.291218337554658,-0.0798045504028836,0.0483448210315348,0.299268707550932,0.397897949138867,-0.344457707996757,0.0656776886017736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0
25,2,0.132574898230038,0.765108614621405,p1,C1,0,-0.39240557344579,-0.148367051303657,0.350969261228581,0.0361350564887526,0.0196415032589302,0.144099451407216,0.252176660990973,0.394690227785857,-0.27213677029756,0.162018881033047,-0.0126744273511348,0.407272579199369,-0.0360666900556679,-0.311762195243266,0.195547299086584,-0.440833394960477,0.483790650133818,0.265619028068701,-0.139808515601365,-0.0677498017152402,0.35499731794752,-0.228984141839144,0.123383328805112,-0.0999129421211596,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
26,2,0.132464007672258,0.763829219515387,p1,C1,2,0.3883944066,-0.221050207,0.1588290687,-0.0816919146,0.133211914209102,-0.410147980439824,-0.261297838631403,0.153960936803873,0.0358758447152498,0.156572479998268,0.29817440777253,0.19380575990323,-0.494700394250826,0.0286209976594893,-0.118937290820512,-0.328860639990078,-0.114638409497629,0.374591544745325,-0.344186140037883,-0.189398067087396,0.147660153559778,0.411824824650255,-0.110783584418405,-0.0640581279431422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0
27,2,0.132417350722953,0.763291236926201,p1,C1,0,-0.129569886575867,-0.41722896730089,0.487534198668585,-0.264636696277778,0.0787386943598711,-0.149889987359066,0.210429387722961,-0.379661570396574,-0.303218935822321,0.221881050669561,0.162842562122906,0.211342115244752,-0.0656668491110922,0.0774732687290774,0.426818705222711,0.190034488344108,-0.18595709102676,-0.158466716838891,0.325924186528398,-0.054828157209322,-0.411571282637261,-0.0197740507243623,-0.0673459653521324,0.342302647119378,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
28,2,0.132395502526722,0.763039379282731,p1,C1,1,-0.4266132005,-0.1019469813,0.28476903161281,-0.295166157583454,0.0279913911751305,-0.480980123472508,-0.12469199173531,-0.0027826080310936,0.159233190458119,0.0160112412191577,0.404036070851003,0.116936094989659,-0.0896940387763432,0.259685332193801,-0.199283166813037,-0.345110510797353,0.0375185033209099,0.49191634969664,0.194231143416155,0.27847918144424,-0.334496919169601,0.158760478424208,0.0320206483601631,-0.216219776283298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0
29,3,0.132330666266142,0.762292216345849,p1,C1,1,0.2297635429,-0.3076895131,0.206423375598603,0.0873801116118482,-0.0596235194838602,-0.214279168934836,-0.125056910278477,0.0421659369006479,-0.250629097391407,0.291737482627591,0.241235425823055,0.401921095078831,-0.33652502844179,-0.116978198832726,-0.462097215553296,0.132593346892609,0.0111107049426581,0.532643066367074,0.0058139791179127,-0.470723226605473,0.399881356752043,-0.0932289426071238,0.0129645174145564,0.267988226401556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0
30,3,0.132328231253724,0.762264162773875,cm,D1,3,0.11811623,-0.4911406058,-0.3816499488,0.1063827926,-0.1494708749,0.2404310886,-0.294718926331622,-0.161307760181043,0.0388902227718753,0.0313015718581818,-0.148676422558075,-0.462207838667334,0.226456082855188,-0.245624985685208,0.336207899825266,0.139593116140206,-0.0371609932215432,0.501378754422224,0.114940653518656,0.284795901440099,0.447723329161797,-0.100422200385315,-0.0371609932215414,-0.222192522141815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0
31,1,0.132308689894815,0.762039047126226,p2,C2,0,0.462942547006232,-0.297395441986049,-0.0545630424154508,0.304592252321638,-0.16707235816134,-0.32192529858537,-0.42454813733405,0.329122109017575,0.0929574520876322,-0.272865585290112,0.315422052416978,0.280062395722318,0.290440683865671,-0.0967328772168203,0.11793882072511,0.103929687552409,0.487923915557538,0.0793998309530883,-0.0795444110529283,-0.0722030205208828,-0.252046274193489,0.128459544248346,-0.339574221301901,-0.121262733816141,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
32,3,0.132303684971101,0.761981395959629,cm,D1,0,-0.457458006405525,0.250751687284273,-0.0897600102445657,0.250751687284377,0.358694676646114,-0.0172534865921255,0.09408730670391,-0.0172534865921339,0.35869467664611,-0.304104528653402,0.0940873067039064,-0.304104528653406,-0.418940352765396,-0.160679007622766,-0.128277663884585,-0.160679007622767,0.226390991675006,0.211903217806405,-0.273609008324991,0.0604450764361065,0.0940873067039047,0.441059922204941,-0.141305323353889,-0.4249654815795,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
33,3,0.132172417224163,0.760470115893921,p1,C1,0,-0.278460189116883,0.244524159161954,0.0466864356261983,0.0213802072126634,-0.168030601793994,-0.461712431213942,0.0814968556021156,0.283423001734118,-0.0708542278410234,0.499449247531279,-0.331640092497648,-0.254082649989754,-0.486017754212828,-0.01976380491455,-0.221743294572625,-0.0136645032009978,0.164821079369802,-0.363312985797581,0.304451738840884,0.141404300361727,0.269641318864967,-0.120638494159728,-0.0581338038689675,-0.221294284425187,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
34,3,0.132144440565498,0.760148215732858,cm,D1,1,0.1812808142,-0.0266361663,0.137156978909024,-0.341368193202901,0.137156978908909,0.28809582338471,0.452910283769088,-0.290925066040073,0.452910283769052,0.237652696221925,-0.171767596976073,0.342068067999655,-0.171767596976191,-0.395340437817851,-0.318208831233707,-0.158780625474559,-0.318208831233731,0.10550825565644,0.45291028376907,-0.0266361849090753,-0.053919950102734,0.105508255656363,-0.0539199501027056,-0.158780625474637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1
35,2,0.132034960044483,0.758889185110933,p1,C1,1,0.4888109412,-0.1819447464,0.0323542824034358,0.380747080996817,0.184687610166231,-0.450568090920835,0.0912172673004011,0.123321224282988,-0.0775212983999756,-0.481863633164443,-0.0410885724706846,-0.181412408984262,0.343586736703929,0.0455872316621622,0.222864347344505,-0.189272359164239,-0.265153276328054,-0.0416700346623149,-0.423360465219359,0.16976177013285,-0.274141370547255,-0.305586947455219,-0.161151556653175,0.201057312376493,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
36,3,0.131988706999209,0.758357586695843,p1,C1,0,-0.294626017766028,-0.231766652785866,-0.0841390779089739,0.38544301385845,0.0185213426660043,-0.178970838914093,-0.486259326216562,-0.05021569521848,0.154374169747023,0.0532691650059377,-0.109599322854968,0.0518303096267978,-0.334399749219895,0.190209655655901,0.160980781946728,-0.411878756388044,0.170740883915749,0.316738718785142,0.401626758178118,0.188770800276508,0.282494835268063,-0.177531983534833,-0.102992710655258,-0.413317611767421,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0
