crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45
1,0,0.145898752982439,0.772186848851652,p3,C3,0,-0.27484837968,0.182437060286888,-0.150754605256997,-0.0816586035108661,-0.108181713013332,0.421953253287581,0.434391179230329,0.207016531083948,0.120531840864834,0.0258097575909505,0.163104733108499,-0.262865377003862,0.391818286986666,-0.0816586035108644,-0.379468159135165,-0.262865377003862,-0.108181713013334,-0.370333738105678,0.163104733108499,0.314484892185764,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
2,1,0.145040347444646,0.763127148297553,p2,C2,0,-0.386128344734723,0.131634578835233,-0.0524927041727629,-0.496757263648986,-0.336048812468894,-0.268636159888621,-0.102572230255525,-0.0964865298994143,-0.102911746990302,0.48367476053473,0.164290704265884,0.0172279534616732,0.432040088901476,-0.0943833209451646,0.129338868374106,-0.270739368842871,0.164120943351073,0.307308598677254,-0.102741991170331,0.193594115316167,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
3,1,0.144875577413493,0.76139426412017,p31m,D3,0,-0.272442338114156,-0.151571372980166,0.227557660647169,0.21259030909219,0.162184393506999,-0.402503234908918,-0.127566761319988,-0.402503234193782,0.457913829270022,-0.257627656414126,-0.0457729861099867,0.028918894307529,0.454227012639861,0.0321000417900824,-0.294841125888129,0.176975618136703,0.205158874130106,-0.115956684172835,-0.0420861719618969,0.318646592543323,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
4,1,0.144728148823833,0.759845429322132,p1,C1,0,-0.211417110964496,-0.103482043805382,0.219236049380203,-0.0255912434711099,-0.498481343976285,0.0384515409347179,-0.174766611139404,0.183644564349682,0.108756294590304,0.241951598013151,-0.212775034658087,-0.396183740590304,0.288577119147134,-0.395254967840512,0.0381691558430779,-0.540447254694216,-0.461825074268386,-0.248674330659947,0.0376329286459376,-0.250991453736079,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0
5,3,0.144532565174625,0.75779312745709,cmm,D2,0,0.064880370266622,-0.249230556397358,0.353945500616086,-0.249230568831181,-0.290587062999055,0.184367132904631,0.20941293306597,0.183197145640416,-0.0314167632906689,-0.52178424221476,0.450242633517825,0.0233231172177257,-0.031416773169285,0.0233231259296757,-0.0497573566140664,0.344241152390783,-0.290587062219398,-0.393763127794774,-0.29058706767403,-0.104697997445155,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
6,1,0.144497814547492,0.757428771913996,cm,D1,0,0.157619668544869,0.185487699690949,-0.127622272442584,0.139060242968474,0.260033281112472,-0.0847527961583211,-0.189538630272536,0.421345273157965,-0.464542533403472,0.0027685822954616,-0.197882518496869,-0.141264517729537,0.0523950379058854,-0.285762332235814,-0.447604962046506,0.29126744245361,-0.448160074852014,-0.285762332318267,-0.197882518449245,-0.430260146824521,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1
7,1,0.144493995758672,0.757388737781791,cm,D1,0,0.437155464198348,0.106732654858307,-0.0639248067944342,-0.18131878498772,-0.446255121667876,-0.267431435577015,0.268514923005353,-0.313884980388238,0.156129906222012,0.328350808617325,-0.301761125817631,0.27182749789495,-0.0514901837443291,0.127333502189245,0.186346135217632,-0.0368247891756941,-0.06284453586263,-0.470304757408609,-0.301761125756446,-0.0171604936225487,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0
8,2,0.144484649522199,0.757290761318858,pm,D1,0,-0.334839224268905,0.0990301937365894,0.378444041109025,0.0630195025759002,0.27688292791799,0.333553411869374,0.0039705716749913,0.238568667830616,-0.270150305955199,-0.182605385758663,-0.260954808856298,0.378394380685006,-0.0131434121414576,0.527030740464363,-0.0086511981191334,-0.33880308709152,-0.0134683632567085,-0.049873942299498,0.239160198595695,-0.190166727312168,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1
9,0,0.144337567297406,0.755749735097586,p6m,D6,0,0.02756247844,-0.483691428212219,-0.22243752156,-0.05067872632,0.27756247844,-0.05067872632,-0.222437521559999,0.237996408274813,0.277562478440001,-0.339353860914813,-0.222437521560001,-0.339353860914813,0.277562478439999,0.237996408274813,0.02756247844,0.0936588409774071,-0.47243752156,-0.195016293617407,0.02756247844,0.382333975572219,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1
10,0,0.144337567297406,0.755749735097586,pmm,D2,0,-0.19104294716,-0.298064564575072,0.0589570528400001,-0.442402131872479,0.0589570528399997,0.134948137317147,0.30895705284,-0.0093894299802595,-0.191042947160001,-0.0093894299802591,0.0589570528399996,0.42362327191196,-0.44104294716,0.134948137317147,0.30895705284,-0.298064564575073,-0.44104294716,-0.153726997277666,-0.19104294716,0.279285704614553,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0
11,2,0.144337567297406,0.755749735097586,cmm,D2,0,0.250552196210001,0.243419606583776,-0.249447803790001,0.243419606583776,-0.49944780379,0.0990820392863688,0.0005521962100002,-0.478268229903257,-0.49944780379,-0.189593095308444,0.0005521962100001,-0.189593095308443,0.250552196210001,-0.0452555280110375,-0.249447803790001,-0.0452555280110376,-0.249447803789999,-0.33393066260585,0.250552196209999,-0.33393066260585,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
12,4,0.144337567297406,0.755749735097585,p31m,D3,1,-0.2118522338,-0.1614364971,-0.0801823967555545,0.148922639653828,0.419817603244442,-0.139752494940986,-0.0801823967555546,-0.428427629535801,-0.330182396755555,0.293260206951233,0.169817603244444,0.0045850723564206,-0.0801823967555556,0.43759777424864,0.169817603244445,0.293260206951233,0.169817603244444,-0.284090062238393,0.419817603244444,0.148922639653826,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
13,5,0.144337567297405,0.755749735097581,cmm,D2,2,0.167537718197525,0.321060682052302,-0.0219820209,0.0033519318,-0.0578846576496916,0.501388399835034,0.192115342350309,-0.220299436652,0.44211534235031,0.21271326524022,-0.307884657649692,0.0683756979428134,-0.307884657649691,0.357050832537626,0.442115342350309,-0.0759618693545928,-0.307884657649691,-0.220299436651999,-0.0578846576496908,-0.364637003949406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1
14,3,0.144337567297393,0.75574973509745,p6m,D6,5,0.405879852665455,-0.114136849824544,-0.347834880219633,0.325510232581514,0.072613351600001,-0.0688472418999991,-0.0941201473345252,0.463213419365106,-0.074600960738459,-0.361880129681258,-0.344120147334548,-0.258474417121939,-0.0941201473345845,0.174538284770319,0.405879852665417,0.174538284770243,0.155879852665438,0.318875852067685,-0.344120147334561,0.0302007174728737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
15,0,0.144005282584653,0.752274063067948,p2,C2,0,-0.0240900385012155,0.195289563611974,0.222067201061215,-0.430904805428861,-0.258020465998061,-0.134869533226759,0.455997628558061,-0.100745708590129,-0.207730845576166,-0.418455569072965,0.405708008136166,0.182840327256077,0.0127170554142242,-0.233110462317824,0.185260107145776,-0.0025047794990637,-0.308310086419954,0.148716502619448,0.006287248979954,0.481693659348103,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
16,1,0.143480382525591,0.746799971510301,p1,C1,0,0.056269283732339,0.413210509515627,0.401350744638988,0.282777025434696,-0.387816725758388,-0.101277642939834,-0.285634946865665,0.166874113983515,0.0440987555682334,-0.151443485838406,0.267101813334961,0.0291558411410977,0.138917092194607,-0.422286546886992,-0.0008033206190248,0.131982490798941,0.361920149961336,-0.241687219907488,-0.193467591987385,-0.312405317301157,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
17,0,0.143396269237598,0.745924626915497,p2,C2,0,-0.37556923440853,-0.0494952532153884,0.25796548556853,-0.0698668147014992,-0.206486759369595,-0.392224301376869,0.0888830105295948,0.272862233459982,-0.350809834434523,0.236226520960075,0.233206085594523,-0.355588588876962,-0.115747219571215,0.0719233645123928,-0.0018565292687845,-0.19128543242928,0.0171799604636762,0.550546645583333,0.365216290696324,0.196116690284218,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
18,0,0.143396269237597,0.745924626915489,p1,C1,0,0.176354306988926,-0.0412862958734141,0.248057357054846,-0.318970707996764,0.43617632182624,0.0801323218543704,-0.133295942787324,-0.294035902634487,0.259453252084884,0.306005996164235,-0.180239592879235,0.269370283664326,-0.108536542813317,-0.0083141284590254,-0.368358557650632,-0.129732746186804,0.0243906372215757,0.470309152611916,0.0434271269540352,-0.519909576944351,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
19,1,0.143333258935286,0.74526923176382,p2,C2,0,0.14319814005221,0.168956707256782,0.29617869362779,-0.14438242733367,-0.242976666862144,0.158507279319917,-0.317646499457856,-0.133932999396805,0.374834497889578,0.337842142377392,0.0645423357904217,-0.31326786245428,0.112757241827257,0.45400239514435,-0.173380408147257,0.436597288563201,-0.0441597689448715,-0.0480103556912166,0.483536602624872,0.0725846356143287,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
20,2,0.143325585718703,0.745189439269046,p2,C2,0,-0.0491730254409499,0.493443593198681,0.16623296276095,-0.338301458558681,0.247299722017385,0.380995650861445,-0.130239784697385,-0.225853516221445,-0.4172272080515,0.253491755331145,-0.4657128546285,-0.0983496206911454,-0.218558677741063,0.0468526758937635,0.335618615061063,0.108289458746236,0.0143705221381608,0.213924163377605,0.102689415181839,-0.0587820287376046,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
21,1,0.14324832677381,0.744386274468619,p1,C1,0,0.160541750279633,0.335671810081249,-0.103976304578124,0.116583893103629,-0.475260712965035,0.26803914483745,0.145489705428074,-0.235499646265346,0.0006719723299013,0.573415341207311,-0.277320713450207,-0.111521451872709,0.454848292233789,-0.0098017832845389,0.17456012375893,0.0495183238208492,-0.117450935500474,-0.349264982998773,-0.212320072036487,0.381804481570878,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
22,1,0.143224275985971,0.744136336841628,p1,C1,0,0.17002561274803,0.432069661681477,0.0293827319175011,0.133552248326125,-0.277294923932881,-0.117825759363382,0.377887722054105,0.234975480028,0.462161768169512,-0.236863390541917,0.0807775586088715,-0.428840905288904,0.265563838063663,-0.0285318595512356,-0.345549212801309,0.160372236635669,-0.142659376246542,0.362581255103205,0.0071043300190504,-0.152028643429038,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
23,1,0.143007613005036,0.741886650499321,cm,D1,0,0.258731293878029,-0.18279230207157,-0.40893808499248,-0.216102401612821,0.121413375268207,-0.487254112752738,-0.457722658641561,0.0657216124162724,-0.098261093231303,-0.304093425379463,-0.189263616151929,0.164384939013056,0.18206443804754,0.378771291297531,0.258731293698263,0.103222923938505,0.0110348421942746,-0.0397846892222142,-0.0982610933690426,0.435536649973441,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0
24,2,0.142978031955685,0.741579764517198,p1,C1,0,0.380260441901715,0.26426435173879,-0.414457880904413,0.0651907384793857,-0.0572668944158921,-0.302286871364294,0.228144649079231,-0.0538207589551963,-0.107397591566309,-0.0207592817910926,0.174981175959129,0.463340451413657,0.474822858244815,-0.198460765905367,0.0830223772337038,0.192574039492494,-0.196939682871598,0.250815909219352,0.226221833239618,-0.339770358127728,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
25,3,0.14295168907574,0.741306526079071,cm,D1,0,-0.189529312874039,0.216365496012817,0.316682347841772,-0.0758959394522924,0.106287406950218,0.144212202299988,-0.0366642865637733,-0.103387383644557,-0.394783385657239,0.0173390976523558,0.246947469353905,-0.353164380427299,-0.284263873407308,-0.246339075601453,-0.0366642832369008,-0.389290761796037,0.386418592489911,0.201372157920635,0.0157237832034528,0.415392901635842,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0
26,1,0.14264110017501,0.738088775251701,p1,C1,0,-0.0178284651068531,0.301166065916229,-0.144957109719034,-0.380907421001141,-0.417828465106852,-0.297677875493762,-0.117828465106852,0.033984603541779,0.41939966722005,0.207189684298666,-0.299214398943401,0.254177875107447,0.31939966722005,-0.0599917780757831,0.0635574687296976,-0.186208668023889,0.300785601056599,-0.344666066302542,-0.399214398943401,-0.0130035872670022,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0
27,0,0.14264110017501,0.738088775251701,p3,C3,0,-0.31469585342,-0.259402293425331,-0.0418244980321825,-0.342631838932711,-0.379052630359085,0.0185260050592998,-0.0232104318687322,0.411924357381855,0.239561435804367,-0.29564364812393,0.439561435804365,0.238719276624969,-0.123210431868732,0.144742895007406,0.0581755019678177,-0.0754503765582621,0.158175501967816,0.191731085816187,0.339561435804366,-0.0284621857494804,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1
28,1,0.142641100175009,0.738088775251698,p1,C1,0,0.210649958632946,0.353228985662122,-0.007964107530506,-0.465808227313536,0.0191645370816758,-0.0509162027706162,-0.162221396754876,0.16927706879505,0.292035892469493,-0.134145748277997,-0.370735975203607,-0.0254216841822014,-0.189350041367056,-0.245614955747868,0.273421826306043,-0.418820036504756,0.392035892469493,0.133035714096453,-0.470735975203605,-0.29260314655665,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0
29,2,0.142371558904156,0.735301956894256,p2,C2,0,0.32393869625886,0.191782924554614,0.20109249888072,0.44866315915613,-0.122084330440891,0.323783248834104,0.0007618683167941,0.0669030148923192,-0.392115103862769,-0.0268750146600061,0.0939694772042621,-0.323584220121655,-0.399072816549723,0.257783084422673,-0.14907281305374,-0.175229616939471,0.243804158574797,-0.081451588289866,0.458050208071691,-0.269007642348843,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
30,1,0.142198208131421,0.733512448329686,p1,C1,0,-0.0828595807400678,-0.318417617479035,-0.401234188047512,0.130859641104756,0.200418978203244,0.0298506525941517,-0.0833311649355573,0.0490125379884809,-0.0263236318777692,0.558577484410908,-0.211906144646057,0.343077014486216,0.0675139932203427,0.29010807889307,0.194256230255817,-0.254478983780403,0.351264136359133,0.270946193498735,-0.300189726891572,-0.134981173016881,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
31,2,0.142049117899777,0.731975126414064,cm,D1,0,0.367739433242698,-0.0166727918536759,0.238446695190372,0.313538344076082,-0.281642965403489,0.0364619804330448,0.104283775528555,-0.122988002443823,0.407395588919992,-0.297989689499937,0.0097885511424711,0.144934486632108,-0.313329117102051,-0.245863709816628,-0.218869592905442,0.313538344076067,-0.0529848213555686,-0.359585542622325,-0.490211448857538,0.229363497519087,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1
32,3,0.142034055895967,0.731819906476145,p1,C1,0,-0.228264604138063,-0.334637761757012,-0.275610210515754,-0.0545429819167504,0.444971482725286,-0.0033560501373242,0.406854006372633,-0.284855162273652,-0.223601270176687,0.249197069235354,0.0485115621489513,-0.447234316534321,0.1430953428566,-0.179375024061422,0.319079731757856,0.251292647435216,-0.0143788809155061,0.057049511434383,0.0474145907846835,0.33431519447553,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1
33,4,0.142020922516189,0.731684575208725,cm,D1,0,0.189869739361693,-0.183627482111731,0.195504574941414,0.390469513239261,-0.0862526309597455,0.486308534086846,-0.444231708443472,-0.133729416161796,-0.483263681597832,0.147617833337957,-0.181061856514672,-0.0268584717233185,0.23734701204881,0.0964183682549388,-0.0857072407600667,-0.294416441112551,-0.0232866292863568,0.209333711471748,0.142397135610228,-0.463674123981356,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
34,1,0.141870623226758,0.730136726077104,p3,C3,0,0.0868683665970697,-0.0792963247379218,-0.0169877667592737,0.308300957820382,0.370609393052204,0.204444366366648,-0.35317000237,-0.144192134778444,0.0049595347189211,-0.350957949188914,0.288700781171893,-0.350958504537776,-0.353170323000815,0.269340049391359,-0.158858870931982,0.0625741079650766,0.370609613050042,-0.0792968800867832,-0.271260749228061,-0.415853632213625,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
35,2,0.141832923514379,0.729748734727414,p1,C1,0,-0.103325108039337,-0.0234216817500249,-0.188883269518978,-0.293877063975574,0.239969041170797,0.128556143077159,-0.397979156844528,-0.0649045135418941,0.180610219687246,-0.382801600467357,-0.017769557845754,0.247034526538151,-0.297575463722055,0.2003979764161,0.0311561879288961,0.5264492437077,0.32871589194371,-0.140869745152674,-0.0534169729599962,-0.543106266251588,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0
36,3,0.141769383682215,0.729095039876647,p1,C1,0,-0.375210447554439,-0.0970828526456306,-0.192095104853641,-0.313561497934511,0.414253452576941,0.199762832200336,-0.334134614502389,0.330474988522788,0.0288712175989479,0.502120689892783,-0.0670471172476646,0.235298828646757,-0.0961767700070275,-0.0467396366884865,0.162640532197352,0.0690525766861075,0.345755874898149,-0.147426068602775,0.0869385726937703,-0.263218281977369,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
37,1,0.141710766267432,0.728492246383682,p1,C1,0,0.0104598126090279,-0.306399995003519,0.350122779671182,-0.0935919960290166,0.390286662201612,0.2353387971682,0.112955294256389,0.0615832241784491,-0.140014131188516,-0.0662222330387073,-0.339060650672028,0.319451150932032,-0.365370560317677,-0.238100809232964,0.128757234286503,0.344563901603068,-0.113704221542869,0.491329727126293,-0.401543559103624,0.0430028713961654,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0
38,2,0.141669021828324,0.728063118492621,p2,C2,0,0.0520467954317368,-0.177594830399857,-0.20122844691175,-0.0505826317769483,0.127042078581854,0.0956379540320455,-0.276223730061749,-0.323815416208883,-0.032906767370165,0.329511453304183,0.383725115890043,0.308336488303264,0.213276624022309,-0.410587082107574,-0.362458275502346,0.182409619930752,0.401577553164234,0.0255614231604057,0.449240795355833,-0.253738885337386,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1
39,2,0.141587233887946,0.727222714663016,cm,D1,0,0.101580564252283,-0.452211945792292,0.477020729518716,0.0718714090428828,-0.256829854126663,-0.389112902488122,0.448609978958739,-0.251854419794803,-0.0256868224283623,0.332165443651816,0.21723761632468,-0.0885920266686051,-0.256829854126664,0.16857853067441,-0.0400043218895797,-0.206974307538383,0.221797705261051,0.194545722119952,-0.3061537382442,-0.110267185906856,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
40,3,0.14154417269216,0.726780438662857,cm,D1,2,0.0588340114,0.5380326892,0.0588339979,0.0008311128,-0.212424063240919,-0.132102402692968,0.287575936759079,-0.195059166003141,-0.0792629649425044,0.269431917544164,0.203825380441816,0.269431917544165,-0.100423703998107,-0.39209265409081,0.399576296001892,0.0649310853947,-0.324424663560629,0.127887744852004,0.175575336439372,-0.455049313548115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1
41,1,0.141516053478413,0.726491702445007,p1,C1,0,0.135097112088455,0.422865665810985,0.40911530052472,-0.272750247595737,0.0245347155422151,-0.415745326944201,-0.441700505379553,0.169269199359988,-0.181455557202785,0.0580049170547826,0.0851611082444203,-0.139282645780289,-0.215220336281018,0.33901579453503,-0.184575793192988,-0.225009990142324,0.331819325521911,-0.0004773958150535,0.0882813442346234,0.143732261416818,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1
42,2,0.141458970019193,0.725905729413365,p1,C1,0,0.0411608120106056,-0.0730165242405257,-0.109080851037248,-0.436913078293251,0.0525159895988234,0.20967344858749,-0.260307731732761,-0.197804334516136,0.29165509866891,0.0584945899176012,-0.457850614672787,0.190005704075731,-0.231055256507527,0.359140048046007,0.280299921080691,-0.224195382910415,0.0194390301507767,0.490651162204134,-0.197978297059481,0.0781623344293626,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
43,1,0.141372519854216,0.725018751452904,cm,D1,1,0.3188497863,-0.3809912116,0.0361057603085245,0.23396489474437,-0.398404160274609,0.233964894376894,0.318850800096864,-0.0487801451478005,-0.406835981074877,-0.117314920669449,0.0445375813049824,-0.117314920815056,-0.322521719678137,-0.387196121950394,-0.0397766799697036,-0.387196122134133,-0.181149199830003,0.0530089891349358,0.318850800016958,0.233964894560632,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
44,2,0.141153634023821,0.722775409146218,p1,C1,1,-0.2541180669,0.1341141607,0.015570187586536,-0.150766113416003,0.0900875387337334,0.121528869957781,-0.264076044768431,-0.189436235244054,-0.0346026927921692,0.374806859041991,0.460675869739628,-0.126699602998253,0.0287071559875917,-0.490179564458588,0.247477987470653,-0.311751100124183,0.371707098984181,0.14122193667855,0.247016867458278,0.394499925762759,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1
45,2,0.141152064380604,0.722759334558861,p2,C2,0,0.261623231930987,0.113202183321869,0.151538994249014,0.373158105988794,-0.0048913877904749,0.020113093787395,-0.0819463860295251,-0.39977820826117,0.170395306158797,-0.20117901190091,-0.257233079978797,-0.178486102572865,0.423128285336781,-0.326963201493456,0.490033940843218,-0.0527019129803188,-0.274667265986204,0.103279172565655,-0.312170507833796,0.383081116745009,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1
46,1,0.141053927849339,0.721754681350592,p3,C3,0,0.0298525674160809,0.087608792286415,0.188277210507634,-0.254647156660556,0.405467235346285,0.0536805833156974,-0.29213432891,0.250889207575332,-0.0330893075834098,0.362605451572404,0.236535722813858,0.279616384640792,-0.0813478198896311,-0.171658089728943,-0.018405944890141,-0.446654749014935,-0.324907734256449,-0.0293084836159137,0.468409110345773,-0.221316075970292,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
