crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45
277,4,0.132287534731855,0.634829481666957,p1,C1,0,0.166367250665144,0.100948558043974,-0.0401519933473884,0.266326214437513,0.294102913832688,-0.13074858854371,0.374053529838872,0.264858218603378,-0.186871132991612,-0.230452436436546,0.0274436153921881,-0.385594809780888,-0.422414738942755,0.0958173898992502,-0.165345241760879,0.0332455032377128,-0.443940630173488,-0.167880549775009,0.291840107587232,-0.395313981385674,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0
278,3,0.132243356327655,0.634405540432406,p1,C1,0,-0.138668459584013,-0.332906801858633,0.0523943878818721,-0.150018285298837,-0.0577838852758231,0.216270617626365,0.430694320894658,0.141982435921442,0.350172932187802,-0.109949156245849,0.202369136260507,-0.367873273811833,-0.0339158461875869,0.518341500661522,-0.321623826245945,0.234755928554684,0.17026928166004,0.350229470345243,0.172254467708491,0.0857502080058946,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1
279,3,0.132237306948241,0.634347500888563,p1,C1,1,0.2059232105,-0.2256214818,-0.343547603355281,-0.0894254543696065,-0.271164232420944,0.29243664584829,0.203643901693391,0.0767672575610191,-0.0341849645891156,-0.0389230694264663,0.208710445349907,0.365222722494453,0.467449043177883,0.0955733396102016,-0.0268667735340906,-0.506038540586578,-0.0154612935911507,0.224887934021182,-0.154543776930599,-0.274423765152493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0
280,5,0.132177809073776,0.633776802073019,p1,C1,0,-0.165269613103171,0.355511079038494,0.0977797974925696,0.144776477333447,0.0185237118203259,-0.22188010010825,0.279163303805263,-0.177711152462867,0.421684518314482,0.0449356446418578,-0.228034801204702,-0.317236235207479,0.0076930208041164,0.555430613146666,0.319495696791437,0.288741587149226,-0.123933634396483,0.0008075676127957,-0.338235000823837,0.155593927456109,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
281,4,0.132018544412663,0.632250412179263,p1,C1,1,-0.3389376975,-0.1576314255,0.444823264670199,0.0270253625050862,0.0634483478027344,0.447057715204572,0.0786222725925288,-0.106046391185556,-0.226650459271997,0.272103346043767,0.24678039007895,0.257044698413127,0.0063541159857187,0.147908128002451,0.380111788706485,-0.228959029897949,0.150888218830926,-0.36000153937048,-0.490462231595544,0.283008989484981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1
282,4,0.13200342540552,0.632105607505289,p1,C1,1,-0.4413036879,0.0507743796,-0.0729400345322355,0.268379553454315,0.285276504530485,-0.0890372385264733,-0.385447754161879,-0.280898029997144,0.0944576252364351,-0.359830711843413,-0.13919103318887,-0.482744997795934,0.212631786518861,0.164778368204426,-0.0037962185280851,0.0135879719930205,-0.12881359809913,-0.218942181063207,0.357918058824419,-0.34285375072559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
283,4,0.131960946243304,0.631698845390855,p1,C1,0,-0.296784878758439,0.387109055736472,-0.0493640986737894,-0.402375489673723,-0.0343559158759229,0.41514126531973,-0.487421322236084,0.0474125649738547,0.258056727571303,0.283183775542865,-0.236786205113257,0.130097529740979,0.0256427577692623,0.158129739324237,0.405640801945965,-0.193873688362837,0.143211839063449,-0.221905897946095,0.250149714881396,0.0193803553905974,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1
284,2,0.131960946241648,0.631698845375005,p1,C1,0,-0.463534989044507,0.297852813767538,-0.257892945822375,-0.276987968639277,-0.025479017758617,-0.151933854856722,-0.212899952220471,0.380538021925842,0.429526988802225,0.056566625290218,0.167098008921913,0.0285345748667428,0.274036031075176,0.269820763344069,0.489528720183562,-0.200444186862126,0.227099740303251,-0.228476237285605,0.0495290276598448,0.408570072349324,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0
285,2,0.131960946241238,0.631698845371079,p2,C2,0,-0.252928045552557,0.27448289668815,-0.321643413567444,-0.381654569788173,0.494493037067029,0.197941039992157,-0.0690644961870582,-0.30511271309206,-0.0205145735783875,0.149427935265407,0.445943114458361,-0.256599608365457,0.232063871380173,0.225971350879345,0.19336466949979,-0.333143023979382,0.339003492919328,-0.0153141287430288,0.0864250479607643,-0.0918575443569593,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
286,3,0.131960946240983,0.631698845368639,p2,C2,0,0.342731960622211,0.270569801913627,-0.304853271062211,-0.118395887313627,-0.267765353394053,0.275326148662127,0.305644042954054,-0.123152234062127,0.0353085789854751,-0.414986736436818,0.0025701105745251,0.567160651036818,-0.0053362680665535,0.30335721188553,0.0432149576265536,-0.15118329728553,-0.11227519788375,0.0620714256882981,0.15015388744375,0.0901024889117016,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
287,5,0.131960834673835,0.631697777222174,p1,C1,1,0.4186544901,0.3067543423,0.103442703181766,0.405756996318049,-0.0559089010083307,-0.270373552584808,0.412129881334911,-0.0087436904382512,-0.209013839962764,0.287150516374471,-0.331342622763914,0.0532909079559799,0.155602291290479,-0.0707778995269184,0.0197106342973361,0.155469984686214,0.20101064173164,-0.33076391696146,-0.312827818701123,-0.209980529123277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0
